기준월,산업20,수출액_USD,HSK10_활성수,MTI6_활성수,수출액_십억달러,YoY_%,MoM_%,3M_YoY_%,Momentum_Gap_pp
2025-06-01,무선통신기기,1018108395.0,62,17,1.018108395,,-21.406293880151097,,
2025-07-01,무선통신기기,1199891968.0,62,17,1.199891968,,17.855031339762206,,
2025-08-01,무선통신기기,1554044403.0,62,17,1.554044403,,29.5153600861507,,
2025-09-01,무선통신기기,1737186825.0,61,16,1.737186825,,11.784889907035678,,
2025-10-01,무선통신기기,1824963215.0,60,15,1.824963215,,5.0527892991589995,,
2025-11-01,무선통신기기,1721849752.0,62,17,1.721849752,,-5.650166652811139,,
2025-12-01,무선통신기기,1685851331.0,63,17,1.685851331,,-2.0906830551380207,,
2026-01-01,무선통신기기,2025546160.0,60,16,2.02554616,66.81537177637671,20.14975002561481,66.81537177637671,0.0
2026-02-01,무선통신기기,1466793442.0,62,17,1.466793442,12.257417069665166,-27.585286824566857,39.53639442302094,-27.27897735335577
2026-03-01,무선통신기기,1785454400.0,61,17,1.7854544,43.325282581520284,21.725005639887506,40.79935714252072,2.5259254389995647
2026-04-01,무선통신기기,1619500213.0,61,16,1.619500213,11.515365040125092,-9.294787198149667,22.36602156377018,-10.850656523645087
2026-05-01,무선통신기기,1456283451.0,61,17,1.456283451,12.418986168062563,-10.078218001444627,22.419877929902643,-10.00089176184008
2026-06-01,무선통신기기,1544198528.0,63,17,1.544198528,51.673292901194465,6.036948160032352,25.20254803646071,26.470744864733756
2026-07-01,무선통신기기,1812587375.0,60,16,1.812587375,51.062547574282945,17.380462559280453,38.38494221451332,12.677605359769622
2025-01-01,바이오헬스,1159832601.0,509,11,1.159832601,,,,
2025-02-01,바이오헬스,1243169822.0,513,11,1.243169822,,7.185280093708979,,
2025-03-01,바이오헬스,1431451363.0,518,11,1.431451363,,15.145279242468623,,
2025-04-01,바이오헬스,1385121483.0,519,11,1.385121483,,-3.236566829829479,,
2025-05-01,바이오헬스,1370540144.0,519,11,1.370540144,,-1.052711923030658,,
2025-06-01,바이오헬스,1679925614.0,517,11,1.679925614,,22.573980875674373,,
2025-07-01,바이오헬스,1206785182.0,523,11,1.206785182,,-28.16436799683203,,
2025-08-01,바이오헬스,1153375658.0,516,11,1.153375658,,-4.425768960096499,,
2025-09-01,바이오헬스,1692459776.0,523,11,1.692459776,,46.73968227617995,,
2025-10-01,바이오헬스,1174981015.0,522,11,1.174981015,,-30.575542670976898,,
2025-11-01,바이오헬스,1464927271.0,521,11,1.464927271,,24.676675818459938,,
2025-12-01,바이오헬스,1601513938.0,517,11,1.601513938,,9.32378485293417,,
2026-01-01,바이오헬스,1349373280.0,522,11,1.34937328,16.34207202285738,-15.743894075307141,16.34207202285738,0.0
2026-02-01,바이오헬스,1330137232.0,519,11,1.330137232,6.995617852119973,-1.4255542395207321,11.668844937488677,-4.673227085368704
2026-03-01,바이오헬스,1521919027.0,519,11,1.521919027,6.319995658839583,14.4181961369231,9.885895177938979,-3.5658995190993954
2026-04-01,바이오헬스,1639294001.0,518,11,1.639294001,18.350196796420626,7.7123008463445775,10.555270102460062,7.794926693960564
2026-05-01,바이오헬스,1439226992.0,519,11,1.439226992,5.011662613510426,-12.204461730351934,9.893951689590212,-4.882289076079786
2026-06-01,바이오헬스,1912938227.0,518,11,1.912938227,13.87041253839707,32.91428229411639,12.410757316109375,1.4596552222876937
2026-07-01,바이오헬스,1573830833.0,522,11,1.573830833,30.415160583236258,-17.727043623975835,16.432411911714585,13.982748671521673
2025-01-01,반도체,10129969185.0,57,14,10.129969185,,,,
2025-02-01,반도체,9647382548.0,57,14,9.647382548,,-4.763949703959536,,
2025-03-01,반도체,13058341065.0,57,14,13.058341065,,35.35631037775242,,
2025-04-01,반도체,11663444836.0,57,14,11.663444836,,-10.68203244238054,,
2025-05-01,반도체,13794185577.0,57,14,13.794185577,,18.268537048534128,,
2025-06-01,반도체,14962292775.0,57,14,14.962292775,,8.468112825360752,,
2025-07-01,반도체,14707000282.0,57,14,14.707000282,,-1.706239122833897,,
2025-08-01,반도체,15095443628.0,57,14,15.095443628,,2.641213969890366,,
2025-09-01,반도체,16620981535.0,57,14,16.620981535,,10.10594948114234,,
2025-10-01,반도체,15701441220.0,57,14,15.70144122,,-5.532406814023938,,
2025-11-01,반도체,17258185998.0,57,14,17.258185998,,9.914661693711713,,
2025-12-01,반도체,20767818897.0,57,14,20.767818897,,20.33604748150657,,
2026-01-01,반도체,20541062130.0,57,14,20.54106213,102.77516895526469,-1.091866065110747,102.77516895526469,0.0
2026-02-01,반도체,25137331581.0,57,14,25.137331581,160.56115693485404,22.37600676104863,131.66816294505935,28.89299398979469
2026-03-01,반도체,32827676808.0,57,14,32.827676808,151.39239850295638,30.593323727378973,138.24290813102505,13.149490371931336
2026-04-01,반도체,31892551490.0,57,14,31.89255149,173.44023946991643,-2.84858816988266,161.79793163590895,11.642307834007482
2026-05-01,반도체,37158099212.0,57,14,37.158099212,169.3750856444636,16.510274267805226,164.7359078724455,4.639177772018115
2026-06-01,반도체,44812600394.0,57,14,44.812600394,199.50356584971988,20.59981900131216,180.77296365469996,18.730602195019912
2026-07-01,반도체,41006096710.0,57,14,41.00609671,178.8202619414351,-8.494270920528091,182.56630447853954,-3.7460425371044437
2025-01-01,비철금속,1000395612.0,266,66,1.000395612,,,,
2025-02-01,비철금속,1039717095.0,270,67,1.039717095,,3.9305933101194013,,
2025-03-01,비철금속,1136448726.0,270,65,1.136448726,,9.30364918160742,,
2025-04-01,비철금속,1239609539.0,271,67,1.239609539,,9.0774718330759,,
2025-05-01,비철금속,1177265758.0,268,68,1.177265758,,-5.02930794242622,,
2025-06-01,비철금속,1246037904.0,272,67,1.246037904,,5.841684049048856,,
2025-07-01,비철금속,1394393808.0,271,68,1.394393808,,11.906211161293845,,
2025-08-01,비철금속,1193471560.0,274,67,1.19347156,,-14.409290033221378,,
2025-09-01,비철금속,1300074006.0,277,67,1.300074006,,8.93213123570369,,
2025-10-01,비철금속,1214030218.0,265,66,1.214030218,,-6.618376154195637,,
2025-11-01,비철금속,1257775241.0,274,68,1.257775241,,3.60328946935653,,
2025-12-01,비철금속,1509555427.0,276,67,1.509555427,,20.017899684511285,,
2026-01-01,비철금속,1407515697.0,272,68,1.407515697,40.69590871016335,-6.759588165820951,40.69590871016335,0.0
2026-02-01,비철금속,1219284071.0,269,66,1.219284071,17.270753444714693,-13.373323395341142,28.983331077439022,-11.71257763272433
2026-03-01,비철금속,1476460078.0,271,66,1.476460078,29.918758692858095,21.092378151801515,29.295140282578714,0.6236184102793807
2026-04-01,비철금속,1850595188.0,282,67,1.850595188,49.28855657991189,25.340008549828184,32.15935623916156,17.12920034075033
2026-05-01,비철금속,1678175432.0,275,67,1.678175432,42.5485639581475,-9.316989318789904,40.5852930769725,1.9632708811749993
2026-06-01,비철금속,1826864890.0,274,67,1.82686489,46.61390990879519,8.860185601859062,46.15034348228486,0.463566426510333
2026-07-01,비철금속,1728464428.0,277,68,1.728464428,23.958125608658754,-5.386302103600005,37.706866491867146,-13.748740883208391
2025-01-01,생활용품,578062301.0,577,102,0.578062301,,,,
2025-02-01,생활용품,727546730.0,577,101,0.72754673,,25.859570627837925,,
2025-03-01,생활용품,718720455.0,576,102,0.718720455,,-1.2131557515212776,,
2025-04-01,생활용품,733476266.0,577,102,0.733476266,,2.0530667935421354,,
2025-05-01,생활용품,688454950.0,582,102,0.68845495,,-6.1380740027926155,,
2025-06-01,생활용품,759017543.0,576,102,0.759017543,,10.249413269524755,,
2025-07-01,생활용품,716808305.0,584,102,0.716808305,,-5.56103589294773,,
2025-08-01,생활용품,669187011.0,578,102,0.669187011,,-6.643518729878551,,
2025-09-01,생활용품,765218044.0,578,102,0.765218044,,14.350403014621582,,
2025-10-01,생활용품,862357884.0,578,102,0.862357884,,12.694400081344659,,
2025-11-01,생활용품,947756517.0,578,102,0.947756517,,9.902922508678547,,
2025-12-01,생활용품,830593281.0,580,102,0.830593281,,-12.362166220799509,,
2026-01-01,생활용품,680021212.0,576,102,0.680021212,17.638048844150454,-18.128255121293236,17.638048844150454,0.0
2026-02-01,생활용품,642946582.0,576,102,0.642946582,-11.628139404873695,-5.451981400839012,3.0049547196383797,-14.633094124512073
2026-03-01,생활용품,750790890.0,577,102,0.75079089,4.462156987030519,16.77344759568222,3.490688808769093,0.9714681782614258
2026-04-01,생활용품,743048401.0,578,102,0.743048401,1.3050367740188085,-1.0312443988232167,-1.9536485479414558,3.2586853219602645
2026-05-01,생활용품,652490155.0,577,102,0.652490155,-5.223986696587768,-12.18739531343127,0.18106902148718648,-5.405055718074954
2026-06-01,생활용품,725391039.0,583,102,0.725391039,-4.430267035343083,11.172717847367375,-2.7830723193040137,-1.6471947160390692
2026-07-01,생활용품,809546555.0,580,102,0.809546555,12.937663996512994,11.601400000200446,1.094470088194047,11.843193908318947
2025-01-01,석유제품,3447352835.0,89,12,3.447352835,,,,
2025-02-01,석유제품,3876863761.0,88,12,3.876863761,,12.459151892991539,,
2025-03-01,석유제품,3296198955.0,91,12,3.296198955,,-14.977694388987839,,
2025-04-01,석유제품,3649833119.0,89,11,3.649833119,,10.72854426652774,,
2025-05-01,석유제품,3581143688.0,87,12,3.581143688,,-1.881988265228407,,
2025-06-01,석유제품,3732478900.0,90,12,3.7324789,,4.225890530645482,,
2025-07-01,석유제품,4234549258.0,87,11,4.234549258,,13.45139172789429,,
2025-08-01,석유제품,4141117285.0,87,12,4.141117285,,-2.206420738251802,,
2025-09-01,석유제품,4199552898.0,88,12,4.199552898,,1.4111074132497015,,
2025-10-01,석유제품,3844416630.0,89,11,3.84441663,,-8.456525649888357,,
2025-11-01,석유제품,3277814379.0,86,11,3.277814379,,-14.738315472326946,,
2025-12-01,석유제품,4177849334.0,85,11,4.177849334,,27.458386928993338,,
2026-01-01,석유제품,3755281527.0,85,11,3.755281527,8.932323053030334,-10.114481715773616,8.932323053030334,0.0
2026-02-01,석유제품,4093739689.0,88,11,4.093739689,5.5941075407834,9.012857213674351,7.263215296906867,-1.6691077561234673
2026-03-01,석유제품,6251959746.0,87,12,6.251959746,89.67179564559993,52.720012041781786,34.73274207980455,54.939053565795376
2026-04-01,석유제품,5008079601.0,82,12,5.008079601,37.21393383520339,-19.895843791953936,44.15994567386224,-6.946011838658848
2026-05-01,석유제품,5200574222.0,87,12,5.200574222,45.22104319428806,3.8436813376840684,57.36892422503046,-12.147881030742404
2026-06-01,석유제품,5385493746.0,88,12,5.385493746,44.28731923976852,3.55575204018308,42.24076542308666,2.0465538166818646
2026-07-01,석유제품,5757297704.0,91,12,5.757297704,35.96010704381798,6.903804470595709,41.82282315929152,-5.862716115473539
2025-01-01,석유화학,3551530076.0,272,46,3.551530076,,,,
2025-02-01,석유화학,3909274375.0,280,46,3.909274375,,10.072962676495711,,
2025-03-01,석유화학,3636948972.0,276,46,3.636948972,,-6.966136855001381,,
2025-04-01,석유화학,3766523797.0,279,46,3.766523797,,3.562734203794604,,
2025-05-01,석유화학,3298182631.0,277,46,3.298182631,,-12.434307898785324,,
2025-06-01,석유화학,3403085610.0,275,46,3.40308561,,3.1806297812014606,,
2025-07-01,석유화학,3768758173.0,277,46,3.768758173,,10.745323653494566,,
2025-08-01,석유화학,3423187703.0,273,46,3.423187703,,-9.169345819950014,,
2025-09-01,석유화학,3729366235.0,277,46,3.729366235,,8.944251924359058,,
2025-10-01,석유화학,3121328125.0,278,46,3.121328125,,-16.30406003823328,,
2025-11-01,석유화학,3094496629.0,281,46,3.094496629,,-0.8596179230595968,,
2025-12-01,석유화학,3529849919.0,275,46,3.529849919,,14.068630287721028,,
2026-01-01,석유화학,3548451506.0,276,46,3.548451506,-0.08668292071645212,0.5269795438008318,-0.08668292071645212,0.0
2026-02-01,석유화학,3363447893.0,281,46,3.363447893,-13.962347731092684,-5.213643548099256,-7.024515325904568,-6.937832405188116
2026-03-01,석유화학,3987966260.0,276,46,3.98796626,9.651421856682575,18.56780264976741,-1.4658695983755206,11.117291455058096
2026-04-01,석유화학,4082584406.0,279,46,4.082584406,8.391307901777733,2.3725914371201418,1.3601273424558744,7.031180559321858
2026-05-01,석유화학,3656406680.0,280,46,3.65640668,10.861255699821193,-10.43892014513319,9.634661819427167,1.2265938803940255
2026-06-01,석유화학,4002167564.0,276,46,4.002167564,17.604081197357836,9.456302710835217,12.285548266318921,5.318532931038915
2026-07-01,석유화학,4154219833.0,275,46,4.154219833,10.227816227677078,3.7992479467308993,12.89771770828537,-2.669901480608292
2025-01-01,선박류,2478455574.0,42,12,2.478455574,,,,
2025-02-01,선박류,1565522126.0,41,13,1.565522126,,-36.83477152372795,,
2025-03-01,선박류,3181048342.0,40,13,3.181048342,,103.19408388866171,,
2025-04-01,선박류,2009244544.0,47,14,2.009244544,,-36.8370320729945,,
2025-05-01,선박류,2239360990.0,42,12,2.23936099,,11.452883955174741,,
2025-06-01,선박류,2507081058.0,48,15,2.507081058,,11.955199237439595,,
2025-07-01,선박류,2240843985.0,41,13,2.240843985,,-10.61940427296707,,
2025-08-01,선박류,3125873496.0,44,13,3.125873496,,39.49536500195037,,
2025-09-01,선박류,2892852024.0,42,14,2.892852024,,-7.4546034027987425,,
