국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,전체수출대비_비중_%
MH,마샬군도,2026-07-01,866456997,227468803.0,280.9124528606237,21.05544865224278,0.866456997,0.8755708240568548
ID,인도네시아,2026-07-01,843850042,603201749.0,39.89515836102127,-0.35290362531741337,0.843850042,0.8527260778232848
BR,브라질,2026-07-01,691479522,402747736.0,71.6904802166287,7.688138883670348,0.691479522,0.6987528486609708
FR,프랑스,2026-07-01,564234589,564241669.0,-0.0012547814861929574,65.5796443452822,0.564234589,0.5701694899604012
SA,사우디아라비아,2026-07-01,512594808,382227607.0,34.10721743079117,6.34163653133859,0.512594808,0.5179865359755705
BE,벨기에,2026-07-01,496557337,328121431.0,51.33340589386861,15.960830259710313,0.496557337,0.5017803748528877
ES,스페인,2026-07-01,481290999,343734064.0,40.0184181338513,46.34305403044032,0.481290999,0.4863534578918946
IT,이탈리아,2026-07-01,427569604,419839643.0,1.8411698678011623,1.2405172582826474,0.427569604,0.43206699445228575
LR,라이베리아,2026-07-01,421060241,786929974.0,-46.493302465055166,51.01595670282537,0.421060241,0.42548916272407683
NZ,뉴질랜드,2026-07-01,414739703,280637860.0,47.7846584919084,15.711118106309009,0.414739703,0.4191021421514417
AE,아랍에미리트 연합,2026-07-01,388388628,390359730.0,-0.5049450157166624,-21.13791220942044,0.388388628,0.39247389339539407
RU,러시아 연방,2026-07-01,380403306,381265396.0,-0.226112836109571,4.516214637600546,0.380403306,0.384404577793919
CZ,체코공화국,2026-07-01,363607302,351975304.0,3.30477674649583,-1.8779045031095287,0.363607302,0.3674319050426339
EG,이집트,2026-07-01,272661660,95748217.0,184.76943857868392,78.42635625896064,0.27266166,0.275529651398164
HU,헝가리,2026-07-01,267529920,351906030.0,-23.976886670569407,-31.821825322663,0.26752992,0.2703439331961035
GR,그리스,2026-07-01,252219361,44420521.0,467.7991957816073,101.93160131324888,0.252219361,0.25487233009656607
BS,바하마,2026-07-01,236015757,116358713.0,102.83462313647283,80.28625146795537,0.236015757,0.2384982885040888
CH,스위스,2026-07-01,218546865,116251410.0,87.99502302810778,-20.46036324182312,0.218546865,0.2208456499810483
BM,버뮤다,2026-07-01,215799050,212096577.0,1.7456542921953977,2.1398153596514202,0.21579905,0.2180689320917175
IE,아일랜드,2026-07-01,215096650,45103207.0,376.8987934716039,-20.21450754599646,0.21509665,0.21735914389801958
KG,키르기스스탄,2026-07-01,214259169,318108082.0,-32.645795211201204,-15.364170473575445,0.214259169,0.21651285385495816
SK,슬로바키아,2026-07-01,210642826,306662358.0,-31.31115687827588,13.051394823178587,0.210642826,0.2128584723547275
DK,덴마크,2026-07-01,202122565,261894637.0,-22.822946160596636,243.51231720420822,0.202122565,0.20424859099791565
CL,칠레,2026-07-01,200039975,182471824.0,9.627870547290641,65.4730502775996,0.200039975,0.20214409527708233
UZ,우즈베키스탄,2026-07-01,182239008,131457392.0,38.6297150943022,21.611210500581922,0.182239008,0.18415588882348627
AT,오스트리아,2026-07-01,171926972,98144305.0,75.17773649729345,43.42893372854222,0.171926972,0.17373538568312794
