국가코드,국가,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_전체수출대비_비중_%
GE,조지아,1-7월,83172284,98662106,0.083172284,0.098662106,18.6237785654654,0.015489822,0.016580115598361454
HN,온두라스,1-7월,81665194,97754982,0.081665194,0.097754982,19.702136506281988,0.016089788,0.01642767388196379
SN,세네갈,1-7월,70072378,93075024,0.070072378,0.093075024,32.826980697015884,0.023002646,0.015641209374146814
HR,크로아티아,1-7월,81890917,90675177,0.081890917,0.090675177,10.726781823678921,0.00878426,0.015237916333976143
MZ,모잠비크,1-7월,56769432,87089924,0.056769432,0.087089924,53.409891435940395,0.030320492,0.014635416432044471
PF,불령 폴리네시아,1-7월,21083111,71890942,0.021083111,0.071890942,240.98830101496878,0.050807831,0.012081235412054742
LA,라오스,1-7월,86375531,70090953,0.086375531,0.070090953,-18.85323055206457,-0.016284578,0.0117787481967932
LB,레바논,1-7월,61215148,62979055,0.061215148,0.062979055,2.881487765087165,0.001763907,0.010583597436847374
BY,벨라루스,1-7월,41968169,59810549,0.041968169,0.059810549,42.514077752593884,0.01784238,0.010051131651512304
MD,몰도바,1-7월,40996663,48576447,0.040996663,0.048576447,18.488782855326534,0.007579784,0.008163246653357253
LV,라트비아,1-7월,36626131,44090788,0.036626131,0.044090788,20.38068667422175,0.007464657,0.0074094339914338335
SD,수단,1-7월,39579119,42526507,0.039579119,0.042526507,7.446825686039138,0.002947388,0.007146557382978706
IS,아이슬란드,1-7월,33599076,41526239,0.033599076,0.041526239,23.593395842195175,0.007927163,0.006978462865825971
LU,룩셈부르그,1-7월,32112197,41108713,0.032112197,0.041108713,28.01588443170051,0.008996516,0.006908297838684534
TT,트리니다드 토바고,1-7월,41403743,39430809,0.041403743,0.039430809,-4.765110246191995,-0.001972934,0.006626326944175621
NI,니카라과,1-7월,44411279,37140743,0.044411279,0.037140743,-16.370922350603777,-0.007270536,0.0062414825439569875
VE,베네주엘라,1-7월,22568153,36802259,0.022568153,0.036802259,63.07164791022111,0.014234106,0.006184600483805183
IR,이란,1-7월,85047602,35463880,0.085047602,0.03546388,-58.301140577720226,-0.049583722,0.0059596865889566435
WS,사모아,1-7월,30121289,34066766,0.030121289,0.034066766,13.098632664757481,0.003945477,0.005724902307906641
CY,사이프러스,1-7월,40951680,32823969,0.04095168,0.032823969,-19.847075870880026,-0.008127711,0.0055160509184451504
BF,부르키나 파소,1-7월,19598245,31258860,0.019598245,0.03125886,59.49826119634692,0.011660615,0.005253035165020671
BH,바레인,1-7월,67146655,28640888,0.067146655,0.028640888,-57.34577098442208,-0.038505767,0.004813086332048531
YE,예맨,1-7월,28880390,28479233,0.02888039,0.028479233,-1.3890290262700722,-0.000401157,0.00478592029337657
GY,가이아나,1-7월,24912547,27952880,0.024912547,0.02795288,12.204023137417463,0.003040333,0.004697466945486912
TM,투르크멘,1-7월,26481575,26570191,0.026481575,0.026570191,0.334632664409118,8.8616e-05,0.004465106778184353
ZW,짐바브웨,1-7월,13668763,26396083,0.013668763,0.026396083,93.11244916602914,0.01272732,0.004435848019339295
MG,마다카스카르,1-7월,21978989,25688818,0.021978989,0.025688818,16.878979283351025,0.003709829,0.0043169925039433935
BO,볼리비아,1-7월,19442783,24974673,0.019442783,0.024974673,28.452151114374935,0.00553189,0.004196980808125834
BZ,벨리제,1-7월,20131016,24630270,0.020131016,0.02463027,22.349860533616383,0.004499254,0.004139104063102547
