국가코드,국가,기준월,수출건수,수출액_USD,수입건수,수입액_USD,무역수지_USD
SV,엘살바도르,2025-11-01,239,25785273,135,3905171,21880102
GT,과테말라,2025-11-01,881,25509124,144,4437459,21071665
ET,에티오피아,2025-11-01,107,21936412,121,12783663,9152749
MM,미얀마,2025-11-01,614,21046505,1600,32273894,-11227389
FJ,피지,2025-11-01,79,20858252,5,369256,20488996
DO,도미니카 공화국,2025-11-01,424,20733619,114,4723201,16010418
LT,리투아니아,2025-11-01,554,20638737,557,8261632,12377105
TN,튀니지,2025-11-01,228,18894172,689,21803160,-2908988
SY,시리아,2025-11-01,501,18804959,3,30526,18774433
BG,불가리아,2025-11-01,676,18621582,1609,30234728,-11613146
DJ,지부티,2025-11-01,64,17842277,1,1987,17840290
GH,가나,2025-11-01,1400,17147062,42,3959408,13187654
CR,코스타리카,2025-11-01,594,16621093,414,20409805,-3788712
TZ,탄자니아,2025-11-01,397,14508459,42,4432579,10075880
RS,세르비아,2025-11-01,304,13983294,216,9749328,4233966
HN,온두라스,2025-11-01,314,13765330,82,529153,13236177
CI,코트디봐르,2025-11-01,170,13699782,29,10894162,2805620
BH,바레인,2025-11-01,364,12196376,47,62000608,-49804232
UY,우루과이,2025-11-01,181,11289076,64,10314306,974770
PY,파라과이,2025-11-01,174,11147770,39,3590988,7556782
SN,세네갈,2025-11-01,586,10907246,24,1494492,9412754
PF,불령 폴리네시아,2025-11-01,46,10141877,0,3826,10138051
EE,에스토니아,2025-11-01,371,9730932,287,5611973,4118959
AZ,아제르바이잔,2025-11-01,512,9685341,7,16222,9669119
LB,레바논,2025-11-01,231,9610231,94,2515213,7095018
KE,케냐,2025-11-01,287,9117193,84,2340957,6776236
IR,이란,2025-11-01,185,8804356,20,206314,8598042
TM,투르크멘,2025-11-01,44,7958910,0,0,7958910
MZ,모잠비크,2025-11-01,85,7719448,14,62260172,-54540724
YE,예맨,2025-11-01,831,7359535,24,2702701,4656834
GE,조지아,2025-11-01,467,7336596,61,2179662,5156934
LA,라오스,2025-11-01,155,6577516,165,4267690,2309826
LU,룩셈부르그,2025-11-01,196,6489863,194,20908984,-14419121
SD,수단,2025-11-01,97,6285825,2,1220,6284605
BN,브루나이,2025-11-01,170,6112697,13,35240937,-29128240
HR,크로아티아,2025-11-01,235,5822788,161,2348367,3474421
NI,니카라과,2025-11-01,98,5803970,57,1055868,4748102
BY,벨라루스,2025-11-01,134,5423753,15,5756482,-332729
MD,몰도바,2025-11-01,229,5008852,400,5525745,-516893
CY,사이프러스,2025-11-01,256,4593053,26,406935,4186118
MG,마다카스카르,2025-11-01,485,4318663,106,10047615,-5728952
LV,라트비아,2025-11-01,245,4120835,277,7689624,-3568789
TT,트리니다드 토바고,2025-11-01,80,4088563,29,53503533,-49414970
GY,가이아나,2025-11-01,83,3987916,5,63748,3924168
VE,베네주엘라,2025-11-01,94,3792713,13,621119,3171594
BF,부르키나 파소,2025-11-01,24,3778548,6,3528570,249978
IS,아이슬란드,2025-11-01,180,3776389,48,3437191,339198
WS,사모아,2025-11-01,24,3719300,2,103527,3615773
AF,아프카니스탄,2025-11-01,272,3219795,3,2276,3217519
GN,기니,2025-11-01,241,3088232,4,21694,3066538
ML,말리,2025-11-01,19,2869396,1,10,2869386
AM,아르메니아,2025-11-01,150,2767568,520,5373917,-2606349
CM,카메룬,2025-11-01,112,2713640,12,131163,2582477
ZM,잠비아,2025-11-01,71,2685901,15,15570049,-12884148
MU,모리셔스,2025-11-01,146,2650705,23,134073,2516632
AO,앙골라,2025-11-01,117,2627137,0,0,2627137
BO,볼리비아,2025-11-01,96,2611203,18,51567357,-48956154
TG,토고,2025-11-01,168,2586243,3,8645,2577598
BJ,베닝,2025-11-01,65,2570983,0,47,2570936
RE,불령 리유니온 코모도 제도,2025-11-01,68,2242411,2,222,2242189
ZW,짐바브웨,2025-11-01,30,2217241,19,821883,1395358
SO,소말리아,2025-11-01,34,2164845,2,245545,1919300
CW,큐라소,2025-11-01,56,2008510,1,17100,1991410
AW,아루바,2025-11-01,41,1989199,0,0,1989199
BS,바하마,2025-11-01,41,1952255,1,1050,1951205
RW,르완다,2025-11-01,221,1915576,8,45037,1870539
NP,네팔,2025-11-01,168,1705380,783,526378,1179002
GQ,적도 기니,2025-11-01,46,1609121,1,2561,1606560
GA,가봉,2025-11-01,306,1486695,5,438639,1048056
BA,보스니아-헤르체고비나,2025-11-01,68,1446117,133,3103733,-1657616
NA,나미비아,2025-11-01,28,1378196,6,47677,1330519
AS,아메리칸 사모아,2025-11-01,38,1321368,5,111241,1210127
SC,세이쉘,2025-11-01,36,1301307,6,539868,761439
CD,콩고민주공화국,2025-11-01,45,1272046,44,119048089,-117776043
JM,자마이카,2025-11-01,52,1233479,13,883419,350060
MQ,마티니크,2025-11-01,16,1221967,0,0,1221967
UG,우간다,2025-11-01,48,1183307,28,4726708,-3543401
KY,영령 캐이맨 군도,2025-11-01,18,1075416,3,1064,1074352
MV,몰디브,2025-11-01,84,1039770,1,891,1038879
MF,세인트 마틴,2025-11-01,9,1000133,0,0,1000133
MP,북마리아나 군도,2025-11-01,158,920130,3,107528,812602
BB,바베이도스,2025-11-01,14,916762,3,24002,892760
PS,팔레스타인 해방기구,2025-11-01,17,915523,9,13105,902418
HT,아이티,2025-11-01,26,864125,5,48127,815998
MR,모리타니,2025-11-01,30,824919,8,1555929,-731010
CU,쿠바,2025-11-01,19,814255,4,228768,585487
CG,콩고,2025-11-01,82,810478,0,97,810381
GM,감비아,2025-11-01,141,804194,3,433850,370344
BZ,벨리제,2025-11-01,13,786494,3,5304941,-4518447
ER,에리트리아,2025-11-01,3,757342,1,550,756792
TD,챠드,2025-11-01,8,744107,0,0,744107
FM,마이크로네시아,2025-11-01,67,675506,5,53486,622020
GP,과델로프,2025-11-01,14,664905,0,0,664905
MO,마카오,2025-11-01,372,570855,88,65830,505025
GF,불령 가이아나,2025-11-01,14,538400,0,0,538400
LI,리히텐슈타인,2025-11-01,13,532182,56,2052647,-1520465
KI,키리바티,2025-11-01,39,525208,3,697218,-172010
BT,부탄,2025-11-01,36,488447,3,879170,-390723
KN,세인트 키츠 네비스,2025-11-01,8,446809,3,57,446752
TL,티모르,2025-11-01,7,443955,2,117388,326567
MK,마세도니아,2025-11-01,63,438560,29,1092551,-653991
TV,투발루,2025-11-01,8,401050,1,22400,378650
MC,모나코,2025-11-01,1,386827,5,172812,214015
SB,솔로몬 군도,2025-11-01,16,380973,4,243161,137812
LC,세인트 루시아,2025-11-01,16,373597,1,17566,356031
VU,바누아투,2025-11-01,30,364631,27,7036707,-6672076
SL,시에라 리온,2025-11-01,37,359849,5,478103,-118254
SR,수리남,2025-11-01,22,352879,13,541615,-188736
GI,지브랄타,2025-11-01,18,344549,2,1040,343509
NC,뉴 칼레도니아,2025-11-01,47,342440,19,28100153,-27757713
GD,그레나다,2025-11-01,5,269561,0,0,269561
CV,카보 베르데,2025-11-01,9,206251,0,0,206251
PW,팔라우,2025-11-01,19,196597,2,1373,195224
MW,말라위,2025-11-01,10,189508,16,2257185,-2067677
ME,몬테네그로,2025-11-01,18,170176,1,4560,165616
YT,메요트,2025-11-01,4,166216,0,108,166108
VG,영령 버진군도,2025-11-01,3,151492,0,0,151492
SZ,스와질랜드,2025-11-01,12,116417,9,22808,93609
CF,중앙아프리카공화국,2025-11-01,1,115900,1,188,115712
VC,세인트 빈센트 그레나딘,2025-11-01,3,102355,0,0,102355
BW,보츠와나,2025-11-01,7,86258,7,239034,-152776
AG,안티가 바부다,2025-11-01,9,83495,0,216,83279
ST,상토메 프린스페,2025-11-01,14,83103,1,100,83003
DM,도미니카,2025-11-01,4,78840,1,159108,-80268
AN,네덜란드 열도,2025-11-01,17,71976,1,631,71345
KM,코모로스,2025-11-01,6,60004,1,450,59554
TC,투르크 & 카이코스 군도,2025-11-01,2,56578,0,0,56578
BI,부룬디,2025-11-01,33,43317,2,36,43281
BQ,보네르 신트외스타티위스,2025-11-01,2,39633,0,0,39633
SM,산마리노,2025-11-01,1,22100,19,253026,-230926
VI,미령 버진군도,2025-11-01,7,19308,0,0,19308
SX,세인트마틴(생마르탱),2025-11-01,6,10665,0,0,10665
NE,니제르,2025-11-01,4,10622,1,487,10135
TO,통가,2025-11-01,2,9826,0,0,9826
AD,안도라,2025-11-01,4,8731,17,30882,-22151
GG,건지,2025-11-01,7,7114,0,0,7114
GL,그린랜드,2025-11-01,8,4947,4,597,4350
VA,교황청,2025-11-01,5,3717,0,0,3717
BL,세인트 바르탤르미,2025-11-01,6,2050,0,0,2050
LS,레소토,2025-11-01,1,590,3,685,-95
JE,저어지,2025-11-01,3,268,3,883,-615
SS,남수단,2025-11-01,1,72,1,10,62
CK,쿡 아일랜드,2025-11-01,1,30,0,1984,-1954
NF,노폴크 아일랜드,2025-11-01,0,0,0,8,-8
TF,불령 남부지역,2025-11-01,0,0,0,1717,-1717
TK,토켈라우,2025-11-01,0,0,1,83,-83
FO,파로에 군도,2025-11-01,0,0,1,35062,-35062
CX,크리스마스 아일랜드,2025-11-01,0,0,0,1912,-1912
SH,세인트 헬레나,2025-11-01,0,0,1,13300,-13300
MS,몬트세라트,2025-11-01,0,0,0,1126,-1126
PN,피트카이른,2025-11-01,0,0,1,8531,-8531
Z1,국제통화기금,2025-11-01,0,0,0,3,-3
NU,니우에,2025-11-01,0,0,2,6311,-6311
UM,마이너 아우틀링 합중국 군도,2025-11-01,0,0,1,280,-280
CN,중국,2025-12-01,100213,12964960895,1945296,13729115193,-764154298
US,미국,2025-12-01,232653,12335136415,1267690,6773605423,5561530992
VN,베트남,2025-12-01,67807,6281464305,233578,2948980420,3332483885
TW,대만,2025-12-01,68113,5131207266,25051,2874434224,2256773042
HK,홍콩,2025-12-01,38739,4624113700,391772,343481115,4280632585
JP,일본,2025-12-01,274877,2456896027,444364,4673371204,-2216475177
SG,싱가포르,2025-12-01,54471,2069320523,16861,1036219395,1033101128
IN,인도,2025-12-01,21241,1719209860,13877,518728014,1200481846
MY,말레이시아,2025-12-01,34216,1406126985,14635,1531142499,-125015514
AU,호주,2025-12-01,26009,1400777577,37609,2965264152,-1564486575
PH,필리핀,2025-12-01,33414,1203925892,6328,306933134,896992758
NL,네덜란드,2025-12-01,10058,1051000604,5690,953213022,97787582
MX,멕시코,2025-12-01,16482,1050832758,8690,611376865,439455893
MH,마샬군도,2025-12-01,43,1008679079,12,40535,1008638544
CA,캐나다,2025-12-01,20663,939889115,44819,622498256,317390859
TR,튀르키예,2025-12-01,6918,744839034,3206,149903613,594935421
TH,태국,2025-12-01,24142,675169085,47789,549419667,125749418
DE,독일,2025-12-01,16390,674509732,163783,2215267260,-1540757528
AE,아랍에미리트 연합,2025-12-01,14099,639531900,580,649530860,-9998960
SA,사우디아라비아,2025-12-01,5185,617378019,448,1915633725,-1298255706
GB,영국,2025-12-01,25734,598290546,25097,430525926,167764620
ID,인도네시아,2025-12-01,13618,586435144,11951,1191101548,-604666404
PL,폴란드,2025-12-01,6462,552464325,2622,116771269,435693056
BR,브라질,2025-12-01,10673,479220278,2201,523993421,-44773143
IT,이탈리아,2025-12-01,7045,429905372,36066,746055678,-316150306
MT,몰타,2025-12-01,338,423233896,101,48164658,375069238
LR,라이베리아,2025-12-01,107,399658161,21,13464,399644697
ES,스페인,2025-12-01,5815,355628121,9467,283179074,72449047
RU,러시아 연방,2025-12-01,6075,300517878,1408,556688389,-256170511
BE,벨기에,2025-12-01,2790,298149807,2497,121474411,176675396
NZ,뉴질랜드,2025-12-01,3544,285333709,26393,129678599,155655110
FR,프랑스,2025-12-01,8921,281780440,28323,799727354,-517946914
HU,헝가리,2025-12-01,2378,266311613,1530,64334949,201976664
CZ,체코공화국,2025-12-01,2883,265350145,3685,197164505,68185640
DK,덴마크,2025-12-01,1741,250346561,2133,102739022,147607539
CH,스위스,2025-12-01,3586,232300120,4655,317617455,-85317335
BM,버뮤다,2025-12-01,25,212789193,2,234,212788959
UZ,우즈베키스탄,2025-12-01,2312,195680649,77,2710169,192970480
SK,슬로바키아,2025-12-01,1586,190007554,1338,54705418,135302136
CL,칠레,2025-12-01,2949,166842285,1647,387969531,-221127246
KG,키르기스스탄,2025-12-01,8459,164194980,16,241838,163953142
KZ,카자흐스탄,2025-12-01,4941,163857400,81,230182277,-66324877
BD,방글라데시,2025-12-01,2708,158302529,3748,49802838,108499691
IL,이스라엘,2025-12-01,8852,153889092,1925,178435195,-24546103
SE,스웨덴,2025-12-01,2096,140078342,3885,252907460,-112829118
CO,콜롬비아,2025-12-01,1812,137853493,1489,179247088,-41393595
IQ,이라크,2025-12-01,1068,129106493,76,718772624,-589666131
KW,쿠웨이트,2025-12-01,757,126664824,70,794390425,-667725601
EG,이집트,2025-12-01,2423,125314529,249,5365472,119949057
GR,그리스,2025-12-01,1245,123457437,548,68577642,54879795
PK,파키스탄,2025-12-01,1687,106638885,775,29299996,77338889
IE,아일랜드,2025-12-01,1420,92870369,1426,154794694,-61924325
NO,노르웨이,2025-12-01,1343,78189517,2667,146920347,-68730830
ZA,남아프리카공화국,2025-12-01,1667,77733589,353,283957231,-206223642
PT,포루투갈,2025-12-01,1185,73128828,4105,46411139,26717689
AT,오스트리아,2025-12-01,2054,73045726,2489,146275790,-73230064
QA,카타르,2025-12-01,1253,69180610,124,609639500,-540458890
PA,파나마,2025-12-01,991,69119902,66,2046559,67073343
SI,슬로베니아,2025-12-01,654,67598294,377,12465707,55132587
FI,핀란드,2025-12-01,1117,66605475,1315,106902081,-40296606
GU,괌,2025-12-01,733,64291824,73,722711,63569113
KH,캄보디아,2025-12-01,2795,59905846,2391,52712907,7192939
OM,오만,2025-12-01,1167,58641920,107,233144022,-174502102
PE,페루,2025-12-01,1377,51354385,1131,167879907,-116525522
UA,우크라이나,2025-12-01,1183,51046924,202,37350924,13696000
NG,나이지리아,2025-12-01,1389,45799801,81,67712462,-21912661
EC,에쿠아도르,2025-12-01,592,44222573,218,12951343,31271230
RO,루마니아,2025-12-01,1541,43987185,5352,54377229,-10390044
JO,요르단,2025-12-01,955,43432068,109,3749243,39682825
PR,푸에르토리코,2025-12-01,453,42406672,132,29894217,12512455
MN,몽골,2025-12-01,3059,41498388,1717,3135726,38362662
BH,바레인,2025-12-01,387,37805251,50,26822309,10982942
MA,모로코,2025-12-01,486,36414055,343,36484519,-70464
LY,리비아,2025-12-01,9007,35900668,16,3162355,32738313
AL,알바니아,2025-12-01,2481,34949606,82,768795,34180811
LT,리투아니아,2025-12-01,578,33287088,603,11642167,21644921
AR,아르헨티나,2025-12-01,912,32442820,345,47029628,-14586808
PG,파푸아 뉴기니,2025-12-01,54,31558325,40,162032523,-130474198
GH,가나,2025-12-01,1621,31124417,38,3882079,27242338
MM,미얀마,2025-12-01,757,30610908,1974,37613444,-7002536
DZ,알제리,2025-12-01,471,30040246,21,238393935,-208353689
SV,엘살바도르,2025-12-01,289,29743445,160,2949402,26794043
GT,과테말라,2025-12-01,745,24731965,190,4004230,20727735
TJ,타지크,2025-12-01,3135,24681316,1,2835,24678481
CI,코트디봐르,2025-12-01,218,24397462,59,21606498,2790964
DO,도미니카 공화국,2025-12-01,530,23417449,140,9099366,14318083
BG,불가리아,2025-12-01,721,23091254,1319,31290139,-8198885
SY,시리아,2025-12-01,386,22748902,2,3331,22745571
DJ,지부티,2025-12-01,52,20541782,2,255291,20286491
IR,이란,2025-12-01,307,20343591,12,86495,20257096
ET,에티오피아,2025-12-01,98,19371712,158,12956224,6415488
KE,케냐,2025-12-01,313,16369894,84,2715162,13654732
MZ,모잠비크,2025-12-01,86,15620811,10,86850582,-71229771
EE,에스토니아,2025-12-01,472,15594918,370,7387090,8207828
LK,스리랑카,2025-12-01,815,15485578,505,9003846,6481732
PY,파라과이,2025-12-01,211,15300306,22,330044,14970262
RS,세르비아,2025-12-01,330,13970469,190,10513236,3457233
HN,온두라스,2025-12-01,317,13675613,134,1701333,11974280
UY,우루과이,2025-12-01,221,13047059,68,12106636,940423
SN,세네갈,2025-12-01,812,12802199,53,3572272,9229927
CR,코스타리카,2025-12-01,644,12616145,501,16424420,-3808275
GE,조지아,2025-12-01,508,12605962,64,1110305,11495657
TZ,탄자니아,2025-12-01,411,12452864,55,13792289,-1339425
TN,튀니지,2025-12-01,200,11768586,691,23501192,-11732606
CY,사이프러스,2025-12-01,350,11242437,31,210852,11031585
HR,크로아티아,2025-12-01,325,11087070,149,2040237,9046833
AZ,아제르바이잔,2025-12-01,557,11001110,12,1760782,9240328
LB,레바논,2025-12-01,208,8888459,72,1672508,7215951
ZZ,기타국,2025-12-01,132,8686612,795,5038053,3648559
LV,라트비아,2025-12-01,325,8058793,354,8666846,-608053
LU,룩셈부르그,2025-12-01,212,7881404,230,14855589,-6974185
LA,라오스,2025-12-01,184,7340996,242,7124011,216985
BJ,베닝,2025-12-01,63,7155632,1,10,7155622
CG,콩고,2025-12-01,115,7118691,3,313375,6805316
IS,아이슬란드,2025-12-01,187,6321379,61,2007387,4313992
BY,벨라루스,2025-12-01,149,6237234,19,1552115,4685119
YE,예맨,2025-12-01,644,6220646,21,1733430,4487216
SD,수단,2025-12-01,101,6182503,0,0,6182503
TT,트리니다드 토바고,2025-12-01,68,5431738,30,47698667,-42266929
VE,베네주엘라,2025-12-01,86,5317877,9,189417,5128460
AO,앙골라,2025-12-01,132,4722682,2,18,4722664
CD,콩고민주공화국,2025-12-01,37,4719680,53,124584816,-119865136
WS,사모아,2025-12-01,43,4719403,2,155432,4563971
GY,가이아나,2025-12-01,79,4595238,3,20541512,-15946274
MD,몰도바,2025-12-01,260,4404892,351,4263689,141203
TG,토고,2025-12-01,114,4204490,13,470603,3733887
ZW,짐바브웨,2025-12-01,43,4142513,6,1022237,3120276
PS,팔레스타인 해방기구,2025-12-01,29,4120826,8,84,4120742
NI,니카라과,2025-12-01,86,4114212,49,1684668,2429544
FJ,피지,2025-12-01,93,4080735,7,225129,3855606
MU,모리셔스,2025-12-01,199,3997582,19,322556,3675026
AM,아르메니아,2025-12-01,137,3569689,347,6473844,-2904155
BF,부르키나 파소,2025-12-01,20,3389315,2,734032,2655283
AF,아프카니스탄,2025-12-01,228,3261479,9,268045,2993434
PF,불령 폴리네시아,2025-12-01,60,3012709,2,155454,2857255
BO,볼리비아,2025-12-01,100,2951821,32,15567091,-12615270
NP,네팔,2025-12-01,216,2839222,1018,736904,2102318
MG,마다카스카르,2025-12-01,380,2730176,150,10735831,-8005655
PW,팔라우,2025-12-01,20,2591220,3,1931,2589289
BN,브루나이,2025-12-01,192,2580102,17,57356725,-54776623
JM,자마이카,2025-12-01,65,2158051,10,23216,2134835
SO,소말리아,2025-12-01,33,2084565,3,194104,1890461
GP,과델로프,2025-12-01,25,2053664,1,612,2053052
ZM,잠비아,2025-12-01,50,1969926,17,16975318,-15005392
MQ,마티니크,2025-12-01,24,1936787,0,0,1936787
BS,바하마,2025-12-01,34,1908389,4,2797,1905592
RE,불령 리유니온 코모도 제도,2025-12-01,68,1851933,2,2283,1849650
GN,기니,2025-12-01,149,1780280,7,811944,968336
GA,가봉,2025-12-01,306,1662136,2,167474,1494662
ER,에리트리아,2025-12-01,5,1629068,0,0,1629068
UG,우간다,2025-12-01,47,1577990,29,1711810,-133820
MF,세인트 마틴,2025-12-01,18,1572234,0,0,1572234
MO,마카오,2025-12-01,620,1459474,83,327369,1132105
CM,카메룬,2025-12-01,99,1428105,22,133883,1294222
RW,르완다,2025-12-01,288,1382798,6,272510,1110288
GQ,적도 기니,2025-12-01,34,1322188,0,0,1322188
CU,쿠바,2025-12-01,18,1316499,8,182033,1134466
MK,마세도니아,2025-12-01,73,1306730,29,634875,671855
AW,아루바,2025-12-01,45,1305503,0,0,1305503
MP,북마리아나 군도,2025-12-01,180,1210954,4,9629,1201325
NC,뉴 칼레도니아,2025-12-01,54,1190222,11,12766512,-11576290
FM,마이크로네시아,2025-12-01,51,1187824,6,2834,1184990
TM,투르크멘,2025-12-01,32,1168023,1,27521,1140502
MR,모리타니,2025-12-01,34,1019832,13,2514629,-1494797
VU,바누아투,2025-12-01,43,877441,23,2270946,-1393505
BA,보스니아-헤르체고비나,2025-12-01,67,866751,136,5652302,-4785551
GD,그레나다,2025-12-01,10,853965,0,0,853965
BT,부탄,2025-12-01,57,842934,5,614194,228740
DM,도미니카,2025-12-01,7,832162,1,185702,646460
MV,몰디브,2025-12-01,106,829298,2,311,828987
GF,불령 가이아나,2025-12-01,16,825269,0,0,825269
BZ,벨리제,2025-12-01,10,818207,1,2549,815658
HT,아이티,2025-12-01,26,802741,6,76385,726356
BB,바베이도스,2025-12-01,15,787290,3,2462,784828
SL,시에라 리온,2025-12-01,44,785629,10,994335,-208706
SR,수리남,2025-12-01,29,751099,10,702147,48952
AS,아메리칸 사모아,2025-12-01,13,743034,4,44362,698672
TV,투발루,2025-12-01,8,740565,0,636,739929
SB,솔로몬 군도,2025-12-01,11,655532,4,81097,574435
LI,리히텐슈타인,2025-12-01,15,646875,68,2839984,-2193109
MW,말라위,2025-12-01,19,597681,15,6671091,-6073410
TD,챠드,2025-12-01,6,572086,1,78,572008
SC,세이쉘,2025-12-01,28,556256,1,101073,455183
GM,감비아,2025-12-01,124,535761,13,1093941,-558180
CW,큐라소,2025-12-01,27,499987,2,34560,465427
ME,몬테네그로,2025-12-01,29,449275,2,12832,436443
KI,키리바티,2025-12-01,10,429427,2,54054,375373
LC,세인트 루시아,2025-12-01,14,412824,1,31330,381494
KY,영령 캐이맨 군도,2025-12-01,14,368732,4,256,368476
VG,영령 버진군도,2025-12-01,6,344133,0,0,344133
SZ,스와질랜드,2025-12-01,7,338807,17,37550,301257
GI,지브랄타,2025-12-01,13,312898,1,267,312631
FO,파로에 군도,2025-12-01,2,299844,4,1184946,-885102
TC,투르크 & 카이코스 군도,2025-12-01,2,268532,0,0,268532
TL,티모르,2025-12-01,5,266800,4,117619,149181
NA,나미비아,2025-12-01,13,244709,6,4282790,-4038081
YT,메요트,2025-12-01,4,208686,0,0,208686
CV,카보 베르데,2025-12-01,5,122528,1,558,121970
NE,니제르,2025-12-01,6,92352,2,1817,90535
KN,세인트 키츠 네비스,2025-12-01,4,69955,3,2393,67562
MC,모나코,2025-12-01,9,56927,7,485810,-428883
VC,세인트 빈센트 그레나딘,2025-12-01,2,56318,2,384,55934
AN,네덜란드 열도,2025-12-01,9,50634,1,197107,-146473
BI,부룬디,2025-12-01,15,47776,3,252,47524
ML,말리,2025-12-01,10,43353,1,32,43321
CK,쿡 아일랜드,2025-12-01,1,27184,2,3338,23846
AD,안도라,2025-12-01,6,22136,19,26772,-4636
KM,코모로스,2025-12-01,1,19308,0,0,19308
TO,통가,2025-12-01,3,14831,1,14747,84
BL,세인트 바르탤르미,2025-12-01,4,12504,0,0,12504
SM,산마리노,2025-12-01,1,11360,16,124508,-113148
FK,포클랜드 군도,2025-12-01,5,9470,0,0,9470
AI,앙귈라,2025-12-01,1,7050,0,0,7050
VI,미령 버진군도,2025-12-01,4,6699,2,277,6422
TK,토켈라우,2025-12-01,1,6644,0,177,6467
NR,나우루,2025-12-01,2,6450,0,298,6152
BW,보츠와나,2025-12-01,5,5560,3,53522,-47962
SX,세인트마틴(생마르탱),2025-12-01,3,5517,0,0,5517
GG,건지,2025-12-01,4,4920,1,5632,-712
VA,교황청,2025-12-01,5,3748,0,0,3748
CF,중앙아프리카공화국,2025-12-01,1,3248,0,0,3248
GL,그린랜드,2025-12-01,5,2477,8,588053,-585576
AG,안티가 바부다,2025-12-01,2,1118,2,950,168
JE,저어지,2025-12-01,2,211,0,0,211
SS,남수단,2025-12-01,1,108,0,0,108
UM,마이너 아우틀링 합중국 군도,2025-12-01,0,0,2,770,-770
GS,남조지아 & 남샌드위치 군도,2025-12-01,0,0,0,262,-262
SH,세인트 헬레나,2025-12-01,0,0,1,355,-355
MS,몬트세라트,2025-12-01,0,0,0,236,-236
TF,불령 남부지역,2025-12-01,0,0,0,900,-900
PN,피트카이른,2025-12-01,0,0,1,8375,-8375
CX,크리스마스 아일랜드,2025-12-01,0,0,0,104,-104
Z1,국제통화기금,2025-12-01,0,0,0,167,-167
BQ,보네르 신트외스타티위스,2025-12-01,0,0,1,353,-353
NU,니우에,2025-12-01,0,0,3,12750,-12750
LS,레소토,2025-12-01,0,0,7,3644,-3644
CN,중국,2026-01-01,99812,13527392577,1756164,13189580496,337812081
US,미국,2026-01-01,196748,12006726701,1433421,6761951366,5244775335
VN,베트남,2026-01-01,62368,6453113611,242892,3055435352,3397678259
HK,홍콩,2026-01-01,29233,4329293204,413015,459196388,3870096816
TW,대만,2026-01-01,51133,3960811235,23324,2935153761,1025657474
JP,일본,2026-01-01,140118,2245851385,474163,3900671338,-1654819953
SG,싱가포르,2026-01-01,49371,1702991428,19349,1223710562,479280866
IN,인도,2026-01-01,20424,1684687550,12817,525073988,1159613562
PH,필리핀,2026-01-01,28430,1336850427,6003,381492190,955358237
AU,호주,2026-01-01,23650,1232941505,49215,3373169548,-2140228043
CA,캐나다,2026-01-01,19167,1068189670,58927,713412295,354777375
MX,멕시코,2026-01-01,15536,1020310702,7539,895984672,124326030
MY,말레이시아,2026-01-01,30189,976720608,15988,1617576664,-640856056
TH,태국,2026-01-01,19603,870058045,44277,497129710,372928335
DE,독일,2026-01-01,16157,791107842,167106,1628526134,-837418292
TR,튀르키예,2026-01-01,6275,746031562,5267,167679060,578352502
GB,영국,2026-01-01,21805,736185758,22990,248053805,488131953
NL,네덜란드,2026-01-01,9893,695251176,5566,1083861595,-388610419
ID,인도네시아,2026-01-01,13204,662360700,11057,1105098888,-442738188
PL,폴란드,2026-01-01,6229,595462020,2228,86220147,509241873
FR,프랑스,2026-01-01,8512,483670528,25351,825936689,-342266161
AE,아랍에미리트 연합,2026-01-01,11674,465642279,621,1256074262,-790431983
LR,라이베리아,2026-01-01,118,418655758,24,86511,418569247
IT,이탈리아,2026-01-01,7050,407643925,34162,624977167,-217333242
BR,브라질,2026-01-01,9952,394974978,1958,571172300,-176197322
GR,그리스,2026-01-01,1362,359956449,434,82166553,277789896
BE,벨기에,2026-01-01,2668,334372645,1979,109830277,224542368
NZ,뉴질랜드,2026-01-01,3143,323280372,30656,151324493,171955879
SA,사우디아라비아,2026-01-01,4630,317250913,519,2311721441,-1994470528
ES,스페인,2026-01-01,6083,303362949,9778,221375743,81987206
MH,마샬군도,2026-01-01,31,294993966,12,39529,294954437
HU,헝가리,2026-01-01,2567,282137296,1755,71360298,210776998
CH,스위스,2026-01-01,3418,263182805,4034,296184227,-33001422
RU,러시아 연방,2026-01-01,5475,240573329,1502,543929578,-303356249
CZ,체코공화국,2026-01-01,2757,217816604,3242,95030924,122785680
BM,버뮤다,2026-01-01,22,211245135,2,1807,211243328
SK,슬로바키아,2026-01-01,1681,173198648,1250,44119199,129079449
PA,파나마,2026-01-01,1054,168988508,52,2016050,166972458
IL,이스라엘,2026-01-01,8178,157247746,1729,122865078,34382668
UZ,우즈베키스탄,2026-01-01,1878,148465307,53,1411899,147053408
SE,스웨덴,2026-01-01,2073,146298733,3399,289298392,-142999659
KG,키르기스스탄,2026-01-01,6464,126957188,12,284611,126672577
EG,이집트,2026-01-01,1966,126401528,278,8483137,117918391
CL,칠레,2026-01-01,2754,115154238,1533,358156185,-243001947
BD,방글라데시,2026-01-01,2414,112214452,4247,45431811,66782641
KZ,카자흐스탄,2026-01-01,4294,110299571,72,18546677,91752894
IQ,이라크,2026-01-01,811,105247904,96,623728076,-518480172
CO,콜롬비아,2026-01-01,1602,105169335,1299,114086623,-8917288
BS,바하마,2026-01-01,46,99443852,2,2339,99441513
SI,슬로베니아,2026-01-01,702,95853925,324,18015056,77838869
AT,오스트리아,2026-01-01,2386,90828146,1830,95984590,-5156444
