0,1,2,3
기준년도,HSK,MTI,구분
2026,0305440000,046300,농수산식품
2026,0305491000,046300,농수산식품
2026,0305492000,046300,농수산식품
2026,0305499000,046300,농수산식품
2026,0305510000,046300,농수산식품
2026,0305520000,046300,농수산식품
2026,0305531000,046300,농수산식품
2026,0305539000,046300,농수산식품
2026,0305541000,046900,농수산식품
2026,0305549000,046300,농수산식품
2026,0305594000,046300,농수산식품
2026,0305595000,046300,농수산식품
2026,0305596000,046300,농수산식품
2026,0305597000,046300,농수산식품
2026,0305598000,046300,농수산식품
2026,0305599000,046300,농수산식품
2026,0305610000,046290,농수산식품
2026,0305620000,046290,농수산식품
2026,0305631000,046290,농수산식품
2026,0305639000,046290,농수산식품
2026,0305640000,046290,농수산식품
2026,0305691000,046900,농수산식품
2026,0305692000,046900,농수산식품
2026,0305693000,046900,농수산식품
2026,0305694000,046900,농수산식품
2026,0305695000,046900,농수산식품
2026,0305696000,046900,농수산식품
2026,0305698000,046900,농수산식품
2026,0305699000,046900,농수산식품
2026,0305711000,046900,농수산식품
2026,0305712000,046300,농수산식품
2026,0305713000,046900,농수산식품
2026,0305720000,046900,농수산식품
2026,0305790000,046900,농수산식품
2026,0306111000,042100,농수산식품
2026,0306119000,042100,농수산식품
2026,0306121000,042300,농수산식품
2026,0306129000,042300,농수산식품
2026,0306141010,042290,농수산식품
2026,0306141090,042290,농수산식품
2026,0306142000,042290,농수산식품
2026,0306143010,042210,농수산식품
2026,0306143090,042210,농수산식품
2026,0306149010,042290,농수산식품
2026,0306149090,042290,농수산식품
2026,0306151000,042300,농수산식품
2026,0306159000,042300,농수산식품
2026,0306161010,042100,농수산식품
2026,0306161090,042100,농수산식품
2026,0306169010,042100,농수산식품
2026,0306169090,042100,농수산식품
2026,0306171010,042100,농수산식품
2026,0306171090,042100,농수산식품
2026,0306179010,042100,농수산식품
2026,0306179091,042100,농수산식품
2026,0306179099,042100,농수산식품
2026,0306191000,042900,농수산식품
2026,0306199000,042900,농수산식품
2026,0306310000,042100,농수산식품
2026,0306320000,042300,농수산식품
2026,0306331000,042210,농수산식품
2026,0306332000,042290,농수산식품
2026,0306339000,042290,농수산식품
2026,0306340000,042300,농수산식품
2026,0306350000,042100,농수산식품
2026,0306360000,042100,농수산식품
2026,0306390000,042900,농수산식품
2026,0306910000,042100,농수산식품
2026,0306920000,042300,농수산식품
2026,0306930000,042290,농수산식품
2026,0306940000,042300,농수산식품
2026,0306951020,042100,농수산식품
2026,0306951030,046210,농수산식품
2026,0306951040,042100,농수산식품
2026,0306959020,042100,농수산식품
2026,0306959030,046210,농수산식품
2026,0306959040,042100,농수산식품
2026,0306992000,046300,농수산식품
2026,0306993000,042900,농수산식품
2026,0306994000,042900,농수산식품
2026,0307111010,043400,농수산식품
2026,0307111090,043400,농수산식품
2026,0307119000,043400,농수산식품
2026,0307120000,043400,농수산식품
2026,0307192000,043400,농수산식품
2026,0307193000,043400,농수산식품
2026,0307194000,043400,농수산식품
2026,0307211000,043590,농수산식품
2026,0307219000,043590,농수산식품
2026,0307221000,043590,농수산식품
2026,0307229000,043900,농수산식품
2026,0307291000,043590,농수산식품
2026,0307299000,043590,농수산식품
2026,0307310000,043590,농수산식품
2026,0307320000,043590,농수산식품
2026,0307392000,046300,농수산식품
2026,0307399000,046290,농수산식품
2026,0307421010,043100,농수산식품
2026,0307421090,043100,농수산식품
2026,0307422010,043100,농수산식품
2026,0307422090,043100,농수산식품
2026,0307431010,043100,농수산식품
2026,0307431090,043100,농수산식품
2026,0307432010,043100,농수산식품
2026,0307432090,043100,농수산식품
2026,0307492010,046290,농수산식품
2026,0307492090,046290,농수산식품
2026,0307493010,043100,농수산식품
2026,0307493090,043100,농수산식품
2026,0307494010,043100,농수산식품
2026,0307494090,043100,농수산식품
2026,0307511000,043200,농수산식품
2026,0307512000,043200,농수산식품
2026,0307519000,043200,농수산식품
2026,0307521000,043200,농수산식품
2026,0307522000,043300,농수산식품
2026,0307523000,043200,농수산식품
2026,0307529000,043900,농수산식품
2026,0307592000,046300,농수산식품
2026,0307599000,046290,농수산식품
2026,0307600000,043900,농수산식품
2026,0307711000,043590,농수산식품
2026,0307712010,043510,농수산식품
2026,0307712090,043510,농수산식품
2026,0307713000,043590,농수산식품
