국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,품목수출대비_비중_%
MT,몰타,2026-07-01,6347367,1819164.0,248.91670019855275,-41.92526514794203,0.006347367,0.01939716030478163
SE,스웨덴,2026-07-01,5482145,2055766.0,166.67164453541892,65.16469786837125,0.005482145,0.016753095477078463
HU,헝가리,2026-07-01,4967827,959578.0,417.7095556588417,-2.001000934455366,0.004967827,0.015181371533333807
IL,이스라엘,2026-07-01,4301263,901389.0,377.1816607480234,130.1446435651458,0.004301263,0.01314439324589644
CA,캐나다,2026-07-01,4179337,11065764.0,-62.23182601761614,-87.11735995666554,0.004179337,0.012771794943746776
SK,슬로바키아,2026-07-01,3720418,417163.0,791.8379626189284,424.65428884896454,0.003720418,0.01136936691179115
BE,벨기에,2026-07-01,1514829,355186.0,326.48893819013136,-7.563445178935268,0.001514829,0.004629223573701041
AR,아르헨티나,2026-07-01,1172343,519104.0,125.83971612624829,-13.504478448848289,0.001172343,0.0035826075762105153
GB,영국,2026-07-01,690441,692924.0,-0.3583365563900265,-29.799558324724874,0.000690441,0.0021099449201525187
IT,이탈리아,2026-07-01,677697,1035296.0,-34.54074969863691,-0.545191455389693,0.000677697,0.0020710000456992004
DK,덴마크,2026-07-01,427040,56488.0,655.9835717320492,-0.7121549954313244,0.00042704,0.001305007782999462
IE,아일랜드,2026-07-01,424791,328662.0,29.248589736568277,-76.9644736720806,0.000424791,0.0012981349783348739
FI,핀란드,2026-07-01,376745,76556.0,392.11688175975763,35.22549846556953,0.000376745,0.001151309378995252
TN,튀니지,2026-07-01,367281,,,545.4396878954028,0.000367281,0.0011223879813315508
MA,모로코,2026-07-01,348797,87476.0,298.7345100370388,669.2071893262764,0.000348797,0.0010659020224964017
CH,스위스,2026-07-01,316656,81306.0,289.46203232233785,-17.642163084413554,0.000316656,0.0009676811177722877
BD,방글라데시,2026-07-01,220124,3655.0,5922.544459644322,-75.74626372318718,0.000220124,0.0006726853063529731
RS,세르비아,2026-07-01,209743,1046364.0,-79.95506343872687,-74.45855816032159,0.000209743,0.0006409616135014429
ZA,남아프리카공화국,2026-07-01,184420,135377.0,36.22698094949659,42.14583012178203,0.00018442,0.0005635760943723323
RO,루마니아,2026-07-01,153550,47180.0,225.4557015684612,-43.35160740505722,0.00015355,0.000469239286904195
ES,스페인,2026-07-01,136111,149731.0,-9.09631272081266,-58.07660796018062,0.000136111,0.00041594678332671365
PR,푸에르토리코,2026-07-01,64613,,,258352.0,6.4613e-05,0.00019745332494132693
AN,네덜란드 열도,2026-07-01,59400,,,290.7894736842105,5.94e-05,0.00018152271990953554
BG,불가리아,2026-07-01,33798,41982.0,-19.494068886665715,12.099502487562198,3.3798e-05,0.00010328459406569834
SI,슬로베니아,2026-07-01,28416,0.0,inf,6.626641651031906,2.8416e-05,8.683753550419801e-05
KZ,카자흐스탄,2026-07-01,23750,,,2125.866916588566,2.375e-05,7.257852858335807e-05
HR,크로아티아,2026-07-01,22617,24960.0,-9.387019230769234,inf,2.2617e-05,6.911615077767617e-05
AE,아랍에미리트 연합,2026-07-01,17946,2668125.0,-99.32739283204498,-92.08817370219332,1.7946e-05,5.484186416660816e-05
AU,호주,2026-07-01,13053,23942.0,-45.480745134074006,-99.18457227995539,1.3053e-05,3.988915930941359e-05
UZ,우즈베키스탄,2026-07-01,7689,,,-96.36311176490065,7.689e-06,2.349710763273432e-05
LT,리투아니아,2026-07-01,4599,11963.0,-61.55646576945581,-32.67457180500659,4.599e-06,1.4054259071783735e-05
CR,코스타리카,2026-07-01,3874,430781.0,-99.10070314150346,inf,3.874e-06,1.1838703988712805e-05
SA,사우디아라비아,2026-07-01,2203,,,1001.5,2.203e-06,6.732231514490013e-06
NO,노르웨이,2026-07-01,1164,1396.0,-16.6189111747851,34.41108545034641,1.164e-06,3.5571118850959485e-06
KG,키르기스스탄,2026-07-01,267,,,inf,2.67e-07,8.159354581792254e-07
HN,온두라스,2026-07-01,230,,,inf,2.3e-07,7.028657504914676e-07
GR,그리스,2026-07-01,4,,,inf,4e-09,1.2223752182460306e-08
CL,칠레,2026-07-01,3,,,-98.5,3e-09,9.16781413684523e-09
SZ,스와질랜드,2026-07-01,2,,,100.0,2e-09,6.111876091230153e-09
ZZ,기타국,2026-07-01,0,,,-100.0,0.0,0.0
NZ,뉴질랜드,2026-07-01,0,0.0,,-100.0,0.0,0.0
BY,벨라루스,2026-07-01,0,0.0,,,0.0,0.0
SV,엘살바도르,2026-07-01,0,0.0,,,0.0,0.0
EE,에스토니아,2026-07-01,0,12506.0,-100.0,-100.0,0.0,0.0
SB,솔로몬 군도,2026-07-01,0,,,,0.0,0.0
SO,소말리아,2026-07-01,0,,,,0.0,0.0
MC,모나코,2026-07-01,0,,,-100.0,0.0,0.0
LV,라트비아,2026-07-01,0,,,,0.0,0.0
UA,우크라이나,2026-07-01,0,,,,0.0,0.0
KE,케냐,2026-07-01,0,,,-100.0,0.0,0.0
