MTI6코드,품목명,행,코드열,품목명열,MTI1,MTI2,MTI3,MTI4
742000,자동차부품,12,1,2.0,7,74,742,7420
746120,화물선,9,1,2.0,7,74,746,7461
746190,기타선박,57,1,2.0,7,74,746,7461
746340,선박용압축점화식엔진,74,1,2.0,7,74,746,7463
747210,항공기엔진,81,1,2.0,7,74,747,7472
747290,기타항공기부품,67,1,2.0,7,74,747,7472
752130,불꽃점화식내연기관,49,1,2.0,7,75,752,7521
752220,기체펌프,58,1,2.0,7,75,752,7522
761200,밸브,68,1,2.0,7,76,761,7612
761900,기타기계요소,98,1,2.0,7,76,761,7619
803720,,14,5,,8,80,803,8037
812160,스마트폰,29,1,2.0,8,81,812,8121
812820,스마트폰부품,101,1,2.0,8,81,812,8128
812890,기타무선통신기기부품,20,1,2.0,8,81,812,8128
813800,전산기록매체,10,1,2.0,8,81,813,8138
814910,기타전자응용기기,100,1,2.0,8,81,814,8149
815190,기타계측기,44,1,2.0,8,81,815,8151
815200,계측기부품,102,1,2.0,8,81,815,8152
823030,냉장고(400리터이상),99,1,2.0,8,82,823,8230
826910,기타조명기기,95,1,2.0,8,82,826,8269
828940,,79,6,,8,82,828,8289
831110,D램,5,1,2.0,8,83,831,8311
831120,낸드,14,1,2.0,8,83,831,8311
831190,기타 메모리반도체,6,1,2.0,8,83,831,8311
831210,프로세서와 컨트롤러,7,1,2.0,8,83,831,8312
831230,기타 집적회로반도체,16,1,2.0,8,83,831,8312
831310,트랜지스터,87,1,2.0,8,83,831,8313
831390,기타개별소자반도체,72,1,2.0,8,83,831,8313
831400,실리콘웨이퍼,50,1,2.0,8,83,831,8314
833310,고정식축전기,69,1,2.0,8,83,833,8333
834200,연결부품,48,1,2.0,8,83,834,8342
834300,인쇄회로,31,1,2.0,8,83,834,8343
836110,리튬이온전지,34,1,2.0,8,83,836,8361
836120,연축전지,56,1,2.0,8,83,836,8361
836210,양극재,30,1,2.0,8,83,836,8362
837110,LCD,38,1,2.0,8,83,837,8371
837120,OLED,15,1,2.0,8,83,837,8371
841210,유입식 변압기,55,1,2.0,8,84,841,8412
841510,저압케이블,88,1,2.0,8,84,841,8415
841520,고압케이블,89,1,2.0,8,84,841,8415
842530,자동제어반,78,1,2.0,8,84,842,8425
873727,,95,9,,8,87,873,8737
876130,,60,9,,8,87,876,8761
904211,,97,8,,9,90,904,9042
931110,바이오의약품,22,1,2.0,9,93,931,9311
931220,화학원료,65,1,2.0,9,93,931,9312
932020,치과용기기및재료,97,1,2.0,9,93,932,9320
932030,영상진단장비,93,1,2.0,9,93,932,9320
932040,미용및조직수복용,104,1,2.0,9,93,932,9320
946057,,86,9,,9,94,946,9460
970100,무기류,37,1,2.0,9,97,970,9701
972389,,82,6,,9,97,972,9723
