대시보드품목,조회HS,국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,품목총수출_USD,품목수출대비_비중_%
선박,8901,SG,싱가포르,2026-07-01,414577930,291149051.0,42.39370816290244,-8.895176921349346,0.41457793,3047217866,13.605129276306233
선박,8901,AE,아랍에미리트 연합,2026-07-01,0,,,-100.0,0.0,3047217866,0.0
선박,8901,OM,오만,2026-07-01,17841347,,,,0.017841347,3047217866,0.5854962718310605
선박,8901,ID,인도네시아,2026-07-01,650000,,,-79.03225806451613,0.00065,3047217866,0.021330932955353054
선박,8901,JP,일본,2026-07-01,1538628,9500000.0,-83.80391578947368,2481558.064516129,0.001538628,3047217866,0.05049287801727532
선박,8901,CN,중국,2026-07-01,40000000,0.0,inf,inf,0.04,3047217866,1.3126727972524954
선박,8901,TH,태국,2026-07-01,187276,,,-90.24095883272538,0.000187276,3047217866,0.006145802769456458
선박,8901,PA,파나마,2026-07-01,99422020,249636033.0,-60.1732094500957,39.18014508878356,0.09942202,3047217866,3.262714527547339
선박,8901,PK,파키스탄,2026-07-01,354141,,,7302.61287625418,0.000354141,3047217866,0.0116217814272949
선박,8901,FR,프랑스,2026-07-01,214900000,252624777.0,-14.933126294258937,-50.0,0.2149,3047217866,7.052334603239033
선박,8901,PH,필리핀,2026-07-01,310000,,,-63.831060718315136,0.00031,3047217866,0.010173214178706839
선박,8901,AU,호주,2026-07-01,0,,,,0.0,3047217866,0.0
승용차,8703,GH,가나,2026-07-01,3988268,3882597.0,2.7216576945791715,-16.974891588527065,0.003988268,5954827283,0.06697537662235502
승용차,8703,GA,가봉,2026-07-01,1486251,2338295.0,-36.438687163082506,13.264146672875077,0.001486251,5954827283,0.02495875916070629
승용차,8703,GY,가이아나,2026-07-01,140506,19332.0,626.8052969170288,-17.829865375393283,0.000140506,5954827283,0.002359531071558033
승용차,8703,GM,감비아,2026-07-01,495656,157270.0,215.162459464615,122.34204328810137,0.000495656,5954827283,0.008323599937398889
승용차,8703,GP,과델로프,2026-07-01,2077614,1012143.0,105.26882071011703,184.93057126987716,0.002077614,5954827283,0.03488957615834178
승용차,8703,GT,과테말라,2026-07-01,4745880,2832140.0,67.57222453692262,75.52642616053417,0.00474588,5954827283,0.07969802942141857
승용차,8703,GU,괌,2026-07-01,2944383,828909.0,255.21185075804462,61.34834379166414,0.002944383,5954827283,0.049445313189951004
승용차,8703,GD,그레나다,2026-07-01,78933,5362.0,1372.0813129429316,-58.910035502712155,7.8933e-05,5954827283,0.001325529629135341
승용차,8703,GR,그리스,2026-07-01,6416205,4069754.0,57.6558435718719,-24.113869083811878,0.006416205,5954827283,0.10774796136098108
승용차,8703,GW,기네비소,2026-07-01,3672,,,-66.69085631349783,3.672e-06,5954827283,6.166425700511791e-05
승용차,8703,GN,기니,2026-07-01,1091833,594178.0,83.75520466930786,12.087371713731066,0.001091833,5954827283,0.01833525891031288
승용차,8703,ZZ,기타국,2026-07-01,6951429,5098239.0,36.349610130086084,-36.494574325676766,0.006951429,5954827283,0.1167360306124264
승용차,8703,NG,나이지리아,2026-07-01,2304853,795796.0,189.62862341605137,-10.092795613652882,0.002304853,5954827283,0.0387056230258761
승용차,8703,ZA,남아프리카공화국,2026-07-01,4407248,9219030.0,-52.19401607327452,-39.14419487343201,0.004407248,5954827283,0.07401134895351087
승용차,8703,NL,네덜란드,2026-07-01,72026594,58014929.0,24.151826506587646,-21.4331288061957,0.072026594,5954827283,1.209549674188258
승용차,8703,AN,네덜란드 열도,2026-07-01,7162,6947.0,3.0948610911184726,-89.1895971381564,7.162e-06,5954827283,0.00012027217011728063
승용차,8703,NO,노르웨이,2026-07-01,37967983,32163688.0,18.0461115031336,39.09483613853102,0.037967983,5954827283,0.6376000712630576
승용차,8703,NC,뉴 칼레도니아,2026-07-01,1461213,277735.0,426.1177021261274,691.7193138349172,0.001461213,5954827283,0.024538293565146883
승용차,8703,NZ,뉴질랜드,2026-07-01,24593402,19345348.0,27.128248093546837,-24.943649908699673,0.024593402,5954827283,0.41299941763567016
승용차,8703,NE,니제르,2026-07-01,49030,,,-61.10582262414723,4.903e-05,5954827283,0.000823365610283478
승용차,8703,NI,니카라과,2026-07-01,1836600,2195348.0,-16.341281655573514,99.32300071954236,0.0018366,5954827283,0.030842204361546718
승용차,8703,TW,대만,2026-07-01,66660245,40745396.0,63.60190731733224,3.5453077869078253,0.066660245,5954827283,1.1194320478497075
승용차,8703,DK,덴마크,2026-07-01,48243141,22113241.0,118.16404479108242,87.03601833376413,0.048243141,5954827283,0.8101518097380559
승용차,8703,DM,도미니카,2026-07-01,6111,128075.0,-95.22857700566074,-97.58314250797908,6.111e-06,5954827283,0.00010262262379038005
승용차,8703,DO,도미니카 공화국,2026-07-01,7031490,5234828.0,34.321318675608836,-12.263916105642803,0.00703149,5954827283,0.11808050285645875
승용차,8703,DE,독일,2026-07-01,222308596,116958870.0,90.0741653882258,9.754223732665434,0.222308596,5954827283,3.733250108439795
승용차,8703,LA,라오스,2026-07-01,286257,2281256.0,-87.45178094874052,-43.20500458316965,0.000286257,5954827283,0.004807141943767439
승용차,8703,LR,라이베리아,2026-07-01,247902,200934.0,23.37483949953716,-8.096284954827038,0.000247902,5954827283,0.004163042657974602
승용차,8703,LV,라트비아,2026-07-01,64075,,,inf,6.4075e-05,5954827283,0.0010760177744016694
승용차,8703,RU,러시아 연방,2026-07-01,50125155,108430939.0,-53.77227619508118,-18.008378053865638,0.050125155,5954827283,0.8417566558663865
승용차,8703,LB,레바논,2026-07-01,377558,2059895.0,-81.67100750280962,451.0347645874077,0.000377558,5954827283,0.0063403686128372305
승용차,8703,RO,루마니아,2026-07-01,5900424,6950057.0,-15.102509231219251,36.7736306408404,0.005900424,5954827283,0.09908640032003427
승용차,8703,RW,르완다,2026-07-01,657094,1340529.0,-50.982485272605075,-29.175666645109832,0.000657094,5954827283,0.011034644142843397
승용차,8703,LY,리비아,2026-07-01,22554417,16787738.0,34.35054204443744,3.8974122081025575,0.022554417,5954827283,0.37875854207205895
승용차,8703,LT,리투아니아,2026-07-01,643444,231347.0,178.1293900504437,-3.2074444240529743,0.000643444,5954827283,0.010805418350871756
승용차,8703,MG,마다카스카르,2026-07-01,2895040,1896679.0,52.63732028456054,14.889788681111238,0.00289504,5954827283,0.048616691339895574
승용차,8703,MH,마샬군도,2026-07-01,302487,112967.0,167.7658077137571,55.98304481675718,0.000302487,5954827283,0.005079693929386465
