기준값,HS_raw,수출액_USD,수입액_USD
2026.07,0305631000,24849.0,2053.0
2026.07,0305693000,18938.0,0.0
2026.07,0305695000,188868.0,0.0
2026.07,0305699000,18423.0,255254.0
2026.07,0305712000,1310.0,48467.0
2026.07,0305720000,1046.0,84941.0
2026.07,0305790000,44930.0,277230.0
2026.07,0306119000,0.0,3.0
2026.07,0306121000,0.0,3062.0
2026.07,0306129000,3173.0,315596.0
2026.07,0306141010,4.0,0.0
2026.07,0306141090,139218.0,18826.0
2026.07,0306142000,906662.0,2892230.0
2026.07,0306143010,911.0,0.0
2026.07,0306143090,449373.0,826625.0
2026.07,0306149090,9225128.0,10411224.0
2026.07,0306159000,0.0,5874.0
2026.07,0306161090,0.0,648462.0
2026.07,0306169090,0.0,340748.0
2026.07,0306171090,72035.0,30747011.0
2026.07,0306179091,837.0,7101928.0
2026.07,0306179099,84882.0,3145428.0
2026.07,0306199000,5541.0,102421.0
2026.07,0306310000,0.0,29932.0
2026.07,0306320000,2887.0,1733485.0
2026.07,0306331000,73940.0,0.0
2026.07,0306332000,552457.0,18505654.0
2026.07,0306339000,3326105.0,3628658.0
2026.07,0306360000,40523.0,27976.0
2026.07,0306390000,62246.0,5590.0
2026.07,0306930000,0.0,1812.0
2026.07,0306951020,11661.0,65.0
2026.07,0306951030,1028.0,0.0
2026.07,0306959020,6749.0,901326.0
2026.07,0306959030,116525.0,1552730.0
2026.07,0306959040,0.0,19.0
2026.07,0306992000,0.0,1102.0
2026.07,0306993000,0.0,4062.0
2026.07,0307111090,42.0,0.0
2026.07,0307119000,138166.0,0.0
2026.07,0307120000,3047916.0,149809.0
2026.07,0307192000,0.0,15325.0
2026.07,0307211000,90709.0,0.0
2026.07,0307219000,35183.0,2349765.0
2026.07,0307221000,758.0,209347.0
2026.07,0307229000,16546.0,1198435.0
2026.07,0307299000,0.0,4333.0
2026.07,0307310000,91.0,0.0
2026.07,0307320000,25214.0,828457.0
2026.07,0307392000,2114.0,0.0
2026.07,0307421010,121.0,0.0
2026.07,0307421090,523.0,0.0
2026.07,0307422010,0.0,15.0
2026.07,0307422090,5853.0,12.0
2026.07,0307431010,0.0,22394.0
2026.07,0307431090,18736.0,4525706.0
2026.07,0307432010,237682.0,1192159.0
2026.07,0307432090,2410170.0,27049467.0
2026.07,0307492090,4181.0,0.0
2026.07,0307493010,47843.0,1061594.0
2026.07,0307493090,76251.0,801547.0
2026.07,0307494090,0.0,75.0
2026.07,0307511000,61371.0,12047114.0
2026.07,0307512000,327.0,129337.0
2026.07,0307519000,3425.0,0.0
2026.07,0307521000,201384.0,6125002.0
2026.07,0307522000,61562.0,10720370.0
2026.07,0307523000,94789.0,19270620.0
2026.07,0307529000,11.0,94602.0
2026.07,0307592000,0.0,51.0
2026.07,0307599000,661.0,0.0
2026.07,0307600000,2472.0,31065.0
2026.07,0307711000,192.0,1330010.0
2026.07,0307712090,691408.0,0.0
2026.07,0307713000,1087.0,0.0
2026.07,0307714000,369779.0,1264766.0
2026.07,0307715000,130.0,121629.0
2026.07,0307719000,98501.0,154526.0
2026.07,0307721000,45.0,21989.0
2026.07,0307723000,675990.0,255865.0
2026.07,0307724000,13427.0,79673.0
2026.07,0307725000,0.0,58927.0
2026.07,0307729000,13844.0,372048.0
2026.07,0307792010,0.0,20901.0
2026.07,0307792020,0.0,80264.0
2026.07,0307792090,0.0,18.0
2026.07,0307793090,0.0,53.0
2026.07,0307810000,3327435.0,0.0
2026.07,0307830000,530745.0,81396.0
2026.07,0307872000,47.0,0.0
2026.07,0307911000,30896.0,0.0
2026.07,0307919000,852760.0,1983.0
2026.07,0307921000,162097.0,631720.0
2026.07,0307922000,241720.0,232997.0
2026.07,0307929000,4519982.0,12775951.0
2026.07,0307993000,4437.0,19.0
2026.07,0307994900,0.0,16.0
2026.07,0308110000,20042.0,288034.0
2026.07,0308192000,0.0,5.0
2026.07,0308193000,222276.0,0.0
2026.07,0308210000,0.0,676171.0
2026.07,0308220000,0.0,311294.0
2026.07,0308302000,716.0,0.0
2026.07,0308304000,2498145.0,2685240.0
2026.07,0308901019,30156.0,14269.0
2026.07,0308901090,3215.0,159782.0
2026.07,0308902010,72964.0,0.0
2026.07,0308902090,14994.0,0.0
2026.07,0309100000,0.0,10224.0
2026.07,0309901000,0.0,964800.0
2026.07,0309902000,0.0,715525.0
2026.07,0309909000,0.0,120.0
2026.07,0401100000,21085.0,4923.0
2026.07,0401200000,323045.0,3667842.0
2026.07,0401401000,0.0,7308.0
2026.07,0401409000,66722.0,37.0
2026.07,0401501000,0.0,5965320.0
2026.07,0401509000,281.0,8571541.0
2026.07,0402101010,0.0,1476873.0
2026.07,0402101090,0.0,56.0
2026.07,0402109000,0.0,467.0
2026.07,0402211000,0.0,3171072.0
2026.07,0402219000,0.0,367.0
2026.07,0402290000,1670.0,95.0
2026.07,0402919000,0.0,9.0
2026.07,0402991000,125.0,318.0
2026.07,0402999000,3703123.0,227674.0
2026.07,0403201000,124584.0,789028.0
2026.07,0403202000,395524.0,0.0
2026.07,0403209000,98081.0,551884.0
2026.07,0403901000,30.0,25167.0
2026.07,0403909000,37776.0,25605.0
2026.07,0404101011,0.0,1071885.0
2026.07,0404101019,4951.0,1655290.0
2026.07,0404101099,0.0,2491.0
2026.07,0404102129,0.0,922463.0
2026.07,0404102131,0.0,37292.0
2026.07,0404102139,0.0,106549.0
2026.07,0404102191,0.0,447328.0
2026.07,0404102199,0.0,309941.0
2026.07,0404102990,0.0,71.0
2026.07,0404901000,116820.0,14050235.0
2026.07,0404902000,1287104.0,1238343.0
2026.07,0405100000,13211.0,21567931.0
2026.07,0405200000,0.0,2854842.0
2026.07,0405900000,0.0,2049802.0
2026.07,0406101010,276.0,39267940.0
2026.07,0406101020,13955.0,8847917.0
2026.07,0406101090,12388.0,4462482.0
2026.07,0406102000,0.0,1219709.0
2026.07,0406200000,7492.0,4259512.0
2026.07,0406300000,476593.0,4166526.0
2026.07,0406400000,0.0,221201.0
2026.07,0406901000,115.0,11447254.0
2026.07,0406902000,0.0,3489302.0
2026.07,0406903000,0.0,381725.0
2026.07,0406904000,0.0,528264.0
2026.07,0406909000,180620.0,5120658.0
2026.07,0407110000,0.0,2878427.0
2026.07,0407210000,169794.0,9436928.0
2026.07,0407290000,38642.0,109614.0
2026.07,0407900000,0.0,226082.0
2026.07,0408110000,0.0,90353.0
2026.07,0408190000,0.0,148320.0
2026.07,0408910000,0.0,339760.0
2026.07,0408991000,0.0,573008.0
2026.07,0408999000,5148.0,46648.0
2026.07,0409000000,9501.0,2649619.0
2026.07,0410100000,0.0,91.0
2026.07,0410901000,0.0,21139.0
2026.07,0410902000,0.0,102420.0
2026.07,0410909000,55513.0,7199.0
2026.07,0501000000,0.0,6946.0
2026.07,0502100000,0.0,29741.0
2026.07,0504001010,0.0,1056727.0
2026.07,0504001021,0.0,69916.0
2026.07,0504001029,0.0,2370367.0
2026.07,0504001031,0.0,171471.0
2026.07,0504001090,0.0,256429.0
2026.07,0504003000,0.0,2201455.0
2026.07,0505100000,6586528.0,4007751.0
2026.07,0505909000,0.0,30540.0
2026.07,0506901020,0.0,136655.0
2026.07,0506901090,0.0,16034.0
2026.07,0506902000,0.0,126994.0
2026.07,0506909000,0.0,174598.0
2026.07,0507901110,0.0,1493764.0
2026.07,0507901190,101143.0,3831.0
2026.07,0508001000,0.0,33254.0
2026.07,0508002010,0.0,10371.0
2026.07,0508002020,10628.0,2508.0
2026.07,0508002030,0.0,224863.0
2026.07,0508002040,0.0,25597.0
2026.07,0508002090,0.0,120177.0
2026.07,0508009000,148369.0,4817.0
2026.07,0510003000,1329027.0,1248686.0
2026.07,0510004000,0.0,1413528.0
2026.07,0510009000,0.0,137348.0
2026.07,0511100000,8652.0,500235.0
2026.07,0511911010,0.0,85282.0
2026.07,0511911090,0.0,10962.0
2026.07,0511912000,50693.0,356550.0
2026.07,0511919000,1824053.0,175770.0
2026.07,0511991000,0.0,25350.0
2026.07,0511992090,0.0,4767.0
2026.07,0511996000,1500.0,58784.0
2026.07,0511999030,0.0,12260.0
2026.07,0511999040,78584.0,186012.0
2026.07,0511999090,302827.0,421135.0
2026.07,0601102000,0.0,293990.0
2026.07,0601109000,0.0,93719.0
2026.07,0601209090,155.0,53355.0
2026.07,0602100000,0.0,48994.0
2026.07,0602209000,14391.0,45194.0
2026.07,0602400000,0.0,52024.0
2026.07,0602901010,19900.0,1442179.0
2026.07,0602901040,0.0,49380.0
2026.07,0602901050,0.0,225.0
2026.07,0602901060,29392.0,77922.0
2026.07,0602901090,6085.0,744677.0
2026.07,0602902090,0.0,798.0
2026.07,0602909040,0.0,1878769.0
2026.07,0602909090,10280.0,30298.0
2026.07,0603110000,24627.0,562628.0
2026.07,0603120000,0.0,968620.0
2026.07,0603131000,0.0,1210.0
2026.07,0603132000,0.0,35496.0
2026.07,0603139000,0.0,119289.0
2026.07,0603140000,0.0,1369960.0
2026.07,0603150000,56045.0,4830.0
2026.07,0603191000,0.0,41271.0
2026.07,0603199000,11931.0,805731.0
2026.07,0603900000,0.0,55518.0
2026.07,0604201000,0.0,15021.0
2026.07,0604202000,0.0,2111.0
2026.07,0604209000,0.0,122958.0
2026.07,0604901000,6678.0,71847.0
2026.07,0604909000,1848.0,77308.0
2026.07,0701900000,29934.0,121564.0
2026.07,0702001000,71031.0,0.0
2026.07,0702009000,315167.0,0.0
2026.07,0703101010,438.0,534652.0
2026.07,0703101090,576136.0,679090.0
2026.07,0703103000,0.0,208426.0
2026.07,0703201000,13637.0,55509.0
2026.07,0703209000,95.0,167171.0
2026.07,0703901000,15.0,3530.0
2026.07,0703902000,3045.0,592614.0
2026.07,0703909000,0.0,33880.0
2026.07,0704100000,1242.0,1182405.0
2026.07,0704200000,250.0,74448.0
2026.07,0704901000,87873.0,134408.0
2026.07,0704902000,233854.0,121877.0
2026.07,0704909000,10214.0,14936.0
2026.07,0705110000,126360.0,1260498.0
2026.07,0705190000,153864.0,793229.0
2026.07,0705210000,0.0,24046.0
2026.07,0705290000,0.0,128937.0
2026.07,0706101000,17029.0,2013527.0
2026.07,0706901000,13344.0,4006.0
2026.07,0706902000,46.0,60813.0
2026.07,0706903000,0.0,334388.0
2026.07,0706904000,1512.0,1480378.0
2026.07,0706909000,8139.0,695393.0
2026.07,0707000000,8465.0,0.0
2026.07,0708100000,0.0,2.0
2026.07,0708200000,0.0,38.0
2026.07,0708900000,681.0,0.0
2026.07,0709200000,5668.0,143190.0
2026.07,0709300000,1895.0,0.0
2026.07,0709400000,4.0,0.0
2026.07,0709517000,3059.0,58092.0
2026.07,0709519000,18000.0,0.0
2026.07,0709540000,17040.0,1019663.0
2026.07,0709550000,0.0,106866.0
2026.07,0709560000,0.0,181602.0
2026.07,0709594010,1146144.0,0.0
2026.07,0709594090,41959.0,0.0
2026.07,0709595000,1140327.0,0.0
2026.07,0709599000,107894.0,4466.0
2026.07,0709601000,4739381.0,0.0
2026.07,0709609000,94149.0,6425.0
2026.07,0709700000,770.0,11540.0
2026.07,0709920000,13.0,0.0
2026.07,0709930000,736133.0,0.0
2026.07,0709991000,205.0,0.0
2026.07,0709993000,28772.0,0.0
2026.07,0709999000,196871.0,1740502.0
2026.07,0710100000,9790.0,997145.0
2026.07,0710210000,0.0,46284.0
2026.07,0710220000,25.0,152758.0
2026.07,0710290000,0.0,143781.0
2026.07,0710300000,0.0,322222.0
2026.07,0710400000,0.0,517400.0
2026.07,0710801000,197.0,648277.0
2026.07,0710802000,1849.0,3039388.0
2026.07,0710804000,0.0,391567.0
2026.07,0710805000,1912.0,26655.0
2026.07,0710806000,0.0,304950.0
2026.07,0710807000,1215.0,7166035.0
2026.07,0710808010,34028.0,3713.0
2026.07,0710808020,1046.0,10.0
2026.07,0710809010,0.0,885648.0
2026.07,0710809090,119751.0,4461302.0
2026.07,0710900000,4188.0,835117.0
2026.07,0711400000,0.0,393319.0
2026.07,0711599000,0.0,17036.0
2026.07,0711903000,0.0,34039.0
2026.07,0711905091,2219.0,0.0
2026.07,0711905099,1899.0,512636.0
2026.07,0711909000,0.0,70.0
2026.07,0712200000,537.0,350268.0
2026.07,0712311000,0.0,41314.0
2026.07,0712319000,0.0,8.0
2026.07,0712320000,8907.0,506295.0
2026.07,0712330000,0.0,274660.0
2026.07,0712340000,16945.0,916912.0
2026.07,0712391010,0.0,98.0
2026.07,0712391030,0.0,71.0
2026.07,0712391040,1543.0,0.0
2026.07,0712391050,0.0,5.0
2026.07,0712391090,5827.0,447228.0
2026.07,0712901000,15531.0,68361.0
2026.07,0712902010,7308.0,902936.0
2026.07,0712902020,14327.0,128905.0
2026.07,0712902030,480.0,664864.0
2026.07,0712902040,0.0,545616.0
2026.07,0712902050,23508.0,63885.0
2026.07,0712902060,0.0,472154.0
2026.07,0712902070,3956.0,27955.0
2026.07,0712902080,471.0,0.0
2026.07,0712902092,420.0,15599.0
2026.07,0712902093,11451.0,18340.0
2026.07,0712902094,0.0,30.0
2026.07,0712902095,0.0,26.0
2026.07,0712902096,6147.0,26878.0
2026.07,0712902097,11576.0,28239.0
2026.07,0712902099,96267.0,2504612.0
2026.07,0712909000,344377.0,13034.0
2026.07,0713101000,0.0,1547.0
2026.07,0713109000,0.0,452426.0
2026.07,0713200000,0.0,629296.0
2026.07,0713319000,0.0,745207.0
2026.07,0713329000,5281.0,268855.0
2026.07,0713331000,0.0,1349.0
2026.07,0713339000,665.0,688307.0
2026.07,0713350000,240.0,139632.0
2026.07,0713390000,1287.0,81952.0
2026.07,0713400000,0.0,431174.0
2026.07,0713500000,0.0,162519.0
2026.07,0713600000,0.0,6858.0
2026.07,0713900000,0.0,571.0
2026.07,0714102010,0.0,14.0
2026.07,0714102020,0.0,1154517.0
2026.07,0714102090,0.0,68.0
2026.07,0714104000,0.0,10934.0
2026.07,0714201000,47216.0,0.0
2026.07,0714202000,17723.0,138.0
2026.07,0714204000,1125.0,0.0
2026.07,0714301000,0.0,6291.0
2026.07,0714309000,0.0,48.0
2026.07,0714401000,0.0,47605.0
2026.07,0714409000,218.0,0.0
2026.07,0714901090,0.0,56172.0
2026.07,0714909010,0.0,199454.0
2026.07,0714909090,4749.0,78706.0
2026.07,0801110000,0.0,300981.0
2026.07,0801120000,0.0,136236.0
2026.07,0801190000,0.0,354841.0
2026.07,0801210000,0.0,243.0
2026.07,0801220000,0.0,825153.0
2026.07,0801310000,0.0,75.0
2026.07,0801320000,20345.0,2757619.0
2026.07,0802110000,9989.0,272.0
2026.07,0802120000,9722.0,18393086.0
2026.07,0802210000,0.0,157151.0
2026.07,0802220000,0.0,147552.0
2026.07,0802320000,2479.0,7888915.0
2026.07,0802410000,0.0,79905.0
2026.07,0802420000,2530.0,77.0
2026.07,0802510000,361074.0,486315.0
2026.07,0802520000,483203.0,503900.0
2026.07,0802610000,0.0,306751.0
2026.07,0802620000,0.0,1576298.0
2026.07,0802700000,0.0,230.0
2026.07,0802910000,0.0,144.0
2026.07,0802920000,0.0,6643.0
2026.07,0802999000,2966.0,1904512.0
2026.07,0803100000,67.0,0.0
2026.07,0803900000,558.0,25162406.0
2026.07,0804100000,4585.0,97117.0
2026.07,0804200000,10713.0,293127.0
2026.07,0804300000,2784.0,4684324.0
2026.07,0804400000,1005.0,4477986.0
2026.07,0804502000,5482.0,7159049.0
2026.07,0804503000,0.0,294379.0
2026.07,0805100000,2872.0,8861529.0
2026.07,0805211000,56320.0,0.0
2026.07,0805219000,45.0,0.0
2026.07,0805290000,173.0,0.0
2026.07,0805400000,13.0,1436758.0
2026.07,0805501000,198.0,3849875.0
2026.07,0805502020,0.0,260417.0
2026.07,0806100000,6071992.0,2500527.0
2026.07,0806200000,171.0,782276.0
2026.07,0807110000,18073.0,0.0
2026.07,0807191000,174020.0,0.0
2026.07,0807199000,220982.0,895015.0
2026.07,0807200000,0.0,27416.0
2026.07,0808100000,5233.0,0.0
2026.07,0808300000,14760.0,0.0
2026.07,0809100000,20.0,14.0
2026.07,0809290000,0.0,19068074.0
2026.07,0809300000,538444.0,0.0
2026.07,0809401000,5076.0,0.0
2026.07,0810100000,4821.0,0.0
2026.07,0810400000,3923.0,7823498.0
2026.07,0810500000,454.0,16616373.0
2026.07,0810600000,0.0,894557.0
2026.07,0810903000,0.0,40.0
2026.07,0810905000,0.0,18.0
2026.07,0810909000,10728.0,1088055.0
2026.07,0811100000,58705.0,970099.0
2026.07,0811200000,0.0,322615.0
2026.07,0811901000,0.0,793358.0
2026.07,0811903000,0.0,88260.0
2026.07,0811909000,26699.0,17836205.0
2026.07,0812100000,703.0,0.0
2026.07,0812901000,0.0,2.0
2026.07,0812909000,122.0,7564.0
2026.07,0813100000,62.0,515.0
2026.07,0813200000,47398.0,424286.0
2026.07,0813300000,16155.0,20929.0
2026.07,0813401000,18082.0,0.0
2026.07,0813402000,22114.0,19578.0
2026.07,0813409000,58677.0,604456.0
2026.07,0813500000,5740.0,146184.0
2026.07,0814001000,800.0,42773.0
2026.07,0901110000,261190.0,86936568.0
2026.07,0901120000,1251.0,4304544.0
2026.07,0901210000,601611.0,34561082.0
2026.07,0901220000,5628.0,4576383.0
2026.07,0901901000,8.0,20988.0
2026.07,0901902000,70307.0,16.0
2026.07,0902100000,253261.0,67008.0
2026.07,0902200000,602928.0,6300.0
2026.07,0902300000,182655.0,947266.0
2026.07,0902400000,317847.0,932885.0
2026.07,0903000000,0.0,3416.0
2026.07,0904110000,106596.0,4348876.0
2026.07,0904120000,59129.0,920913.0
2026.07,0904210000,2020.0,620374.0
2026.07,0904220000,1763212.0,1104084.0
2026.07,0905100000,1662.0,321648.0
2026.07,0905200000,0.0,468.0
2026.07,0906110000,993.0,207734.0
2026.07,0906190000,0.0,189358.0
2026.07,0906200000,1799.0,43230.0
2026.07,0907100000,0.0,31860.0
2026.07,0907200000,0.0,286.0
2026.07,0908110000,0.0,201153.0
2026.07,0908120000,0.0,41427.0
2026.07,0908210000,0.0,12252.0
2026.07,0908220000,0.0,10.0
2026.07,0908310000,0.0,47012.0
2026.07,0908320000,0.0,747.0
2026.07,0909210000,0.0,101001.0
2026.07,0909220000,0.0,1109.0
2026.07,0909310000,0.0,130007.0
2026.07,0909320000,0.0,80231.0
2026.07,0909611000,0.0,54864.0
2026.07,0909612000,0.0,14.0
2026.07,0909613000,0.0,18358.0
2026.07,0909621000,0.0,16.0
2026.07,0909623000,0.0,277.0
2026.07,0910111000,30.0,132894.0
