HSK10,수출액_USD,Master포함
1007900000,1749.0,True
1008100000,0.0,True
1008219000,4540.0,True
1008291000,449.0,True
1008299000,0.0,True
1008500000,268.0,True
1008900000,30970.0,True
1101001000,1592187.0,True
1101002000,9.0,True
1102200000,25777.0,True
1102901000,950.0,True
1102902000,10040.0,True
1102903000,449.0,True
1102909000,135185.0,True
1103110000,116.0,True
1103130000,27416.0,True
1103191000,10.0,True
1103192000,168.0,True
1103193000,74.0,True
1103199000,19608.0,True
1103209000,11745.0,True
1104120000,74.0,True
1104191000,1494.0,True
1104192000,2264.0,True
1104199000,34600.0,True
1104220000,0.0,True
1104230000,1207.0,True
1104291000,517.0,True
1104292000,3459.0,True
1104299000,9031.0,True
1104309000,84.0,True
1105100000,44.0,True
1105200000,0.0,True
1106100000,1222.0,True
1106201000,0.0,True
1106209000,2528.0,True
1106300000,1184.0,True
1107100000,4950.0,True
1107209000,0.0,True
1108110000,0.0,True
1108121000,1369662.0,True
1108129000,25477.0,True
1108130000,25974.0,True
1108141000,0.0,True
1108149000,3399.0,True
1108191000,1210.0,True
1108199000,80743.0,True
1108200000,0.0,True
1109000000,0.0,True
1201109000,0.0,True
1201901000,0.0,True
1201903000,1568.0,True
1201909000,9367.0,True
1202302000,0.0,True
1202410000,0.0,True
1202420000,451.0,True
1204000000,0.0,True
1205909000,0.0,True
1206000000,0.0,True
1207291000,0.0,True
1207299000,0.0,True
1207400000,68558.0,True
1207500000,9621.0,True
1207600000,0.0,True
1207700000,14785.0,True
1207910000,0.0,True
1207991000,27722.0,True
1207999000,12225.0,True
1208100000,1475.0,True
1208901000,0.0,True
1208909000,37565.0,True
1209210000,0.0,True
1209230000,0.0,True
1209240000,0.0,True
1209250000,0.0,True
1209291000,0.0,True
1209293000,0.0,True
1209299000,0.0,True
1209300000,0.0,True
1209911010,558226.0,True
1209911090,224.0,True
1209912000,1122400.0,True
1209913000,590068.0,True
1209914000,1080432.0,True
1209915000,306761.0,True
1209919000,1904312.0,True
1209991010,0.0,True
1209991090,0.0,True
1209992000,0.0,True
1209994000,0.0,True
