MTI6코드,품목명,원본파일,원본행,MTI1,MTI2,MTI3,MTI4
044200,톳,KITA_MTI6_08.xls,36,0,04,044,0442
044300,미역,KITA_MTI6_06.xls,53,0,04,044,0443
044400,한천,KITA_MTI6_09.xls,7,0,04,044,0444
044900,기타해조류,KITA_MTI6_08.xls,83,0,04,044,0449
045100,어육,KITA_MTI6_03.xls,51,0,04,045,0451
045210,명란,KITA_MTI6_07.xls,79,0,04,045,0452
045290,기타어란,KITA_MTI6_09.xls,86,0,04,045,0452
046110,어류통조림,KITA_MTI6_07.xls,23,0,04,046,0461
046190,기타수산물통조림,KITA_MTI6_07.xls,31,0,04,046,0461
046210,새우젓,KITA_MTI6_10.xls,82,0,04,046,0462
046220,염장어란,KITA_MTI6_12.xls,6,0,04,046,0462
046290,기타염장수산물,KITA_MTI6_12.xls,14,0,04,046,0462
046300,건조수산물,KITA_MTI6_08.xls,101,0,04,046,0463
046900,기타수산가공품,KITA_MTI6_02.xls,27,0,04,046,0469
047000,수산부산물,KITA_MTI6_08.xls,29,0,04,047,0470
049010,"고운 가루, 거친 가루와 펠릿",KITA_MTI6_13.xls,44,0,04,049,0490
049090,기타수산물,KITA_MTI6_08.xls,30,0,04,049,0490
111100,금,KITA_MTI6_01.xls,33,1,11,111,1111
111200,은,KITA_MTI6_01.xls,40,1,11,111,1112
111300,백금,KITA_MTI6_02.xls,63,1,11,111,1113
112000,철광,KITA_MTI6_08.xls,25,1,11,112,1120
113000,동광,KITA_MTI6_03.xls,67,1,11,113,1130
114000,알루미늄광,KITA_MTI6_12.xls,17,1,11,114,1140
115000,주석광,KITA_MTI6_12.xls,59,1,11,115,1150
116000,아연광,KITA_MTI6_06.xls,87,1,11,116,1160
117000,니켈광,KITA_MTI6_11.xls,87,1,11,117,1170
119010,"슬래그, 회(灰)와 잔재물",KITA_MTI6_13.xls,38,1,11,119,1190
119090,기타금속광물,KITA_MTI6_02.xls,46,1,11,119,1190
121000,흑연,KITA_MTI6_10.xls,46,1,12,121,1210
122000,소금,KITA_MTI6_08.xls,17,1,12,122,1220
123000,고령토,KITA_MTI6_10.xls,37,1,12,123,1230
124000,석회석,KITA_MTI6_09.xls,71,1,12,124,1240
129000,기타비금속광물,KITA_MTI6_02.xls,98,1,12,129,1290
131000,원유,KITA_MTI6_13.xls,63,1,13,131,1310
132100,무연탄,KITA_MTI6_12.xls,72,1,13,132,1321
132200,유연탄,KITA_MTI6_13.xls,87,1,13,132,1322
132300,갈탄,KITA_MTI6_13.xls,88,1,13,132,1323
132400,토탄,KITA_MTI6_12.xls,74,1,13,132,1324
132900,기타석탄,KITA_MTI6_11.xls,43,1,13,132,1329
133110,항공휘발유,KITA_MTI6_06.xls,79,1,13,133,1331
133120,자동차휘발유,KITA_MTI6_01.xls,18,1,13,133,1331
133200,경유,KITA_MTI6_01.xls,12,1,13,133,1332
133310,제트유,KITA_MTI6_01.xls,20,1,13,133,1333
133320,등유,KITA_MTI6_03.xls,7,1,13,133,1333
133400,나프타,KITA_MTI6_01.xls,62,1,13,133,1334
133510,벙커-A유,KITA_MTI6_09.xls,53,1,13,133,1335
133520,벙커-B유,KITA_MTI6_13.xls,89,1,13,133,1335
133530,벙커-C유,KITA_MTI6_02.xls,81,1,13,133,1335
133590,기타중유,KITA_MTI6_08.xls,41,1,13,133,1335
133600,윤활유,KITA_MTI6_01.xls,26,1,13,133,1336
133900,기타석유제품,KITA_MTI6_01.xls,95,1,13,133,1339
134010,LNG(액상천연가스),KITA_MTI6_08.xls,19,1,13,134,1340
134020,PNG(배관천연가스),KITA_MTI6_13.xls,74,1,13,134,1340
135010,프로판,KITA_MTI6_06.xls,23,1,13,135,1350
135020,부탄,KITA_MTI6_04.xls,51,1,13,135,1350
136000,우라늄,KITA_MTI6_03.xls,48,1,13,136,1360
190000,기타광산물,KITA_MTI6_11.xls,62,1,19,190,1900
211010,에틸렌,KITA_MTI6_01.xls,85,2,21,211,2110
211020,프로필렌,KITA_MTI6_01.xls,97,2,21,211,2110
211030,부타디엔,KITA_MTI6_03.xls,75,2,21,211,2110
211040,벤젠,KITA_MTI6_01.xls,55,2,21,211,2110
211050,톨루엔,KITA_MTI6_03.xls,30,2,21,211,2110
211060,혼합크실렌,KITA_MTI6_02.xls,11,2,21,211,2110
211090,기타기초유분,KITA_MTI6_04.xls,11,2,21,211,2110
212010,오토크실렌,KITA_MTI6_05..xls,59,2,21,212,2120
212020,파라크실렌,KITA_MTI6_01.xls,37,2,21,212,2120
212030,스틸렌,KITA_MTI6_04.xls,5,2,21,212,2120
212040,이염화에탄,KITA_MTI6_04.xls,95,2,21,212,2120
212050,염화비닐모노마,KITA_MTI6_05..xls,11,2,21,212,2120
212060,프로필렌옥사이드,KITA_MTI6_08.xls,69,2,21,212,2120
212070,초산비닐,KITA_MTI6_05..xls,7,2,21,212,2120
212080,메타아크릴산메틸,KITA_MTI6_07.xls,9,2,21,212,2120
212090,기타석유화학중간원료,KITA_MTI6_10.xls,89,2,21,212,2120
213010,에틸렌글리콜,KITA_MTI6_05..xls,62,2,21,213,2130
213020,텔레프탈산,KITA_MTI6_01.xls,86,2,21,213,2130
213030,텔레프탈산디메틸,KITA_MTI6_05..xls,67,2,21,213,2130
213040,아크릴로니트닐,KITA_MTI6_03.xls,61,2,21,213,2130
213050,카프로락탐,KITA_MTI6_13.xls,65,2,21,213,2130
214001,저밀도에틸렌,KITA_MTI6_01.xls,60,2,21,214,2140
214002,고밀도에틸렌,KITA_MTI6_01.xls,77,2,21,214,2140
214003,발포성 폴리스티렌,KITA_MTI6_05..xls,70,2,21,214,2140
214004,폴리프로필렌,KITA_MTI6_01.xls,42,2,21,214,2140
214005,폴리스티렌,KITA_MTI6_02.xls,94,2,21,214,2140
214006,ABS수지,KITA_MTI6_01.xls,71,2,21,214,2140
214007,염화비닐수지,KITA_MTI6_02.xls,101,2,21,214,2140
214008,폴리메타아크릴산메틸,KITA_MTI6_01.xls,67,2,21,214,2140
214009,폴리페닐렌옥사이드,KITA_MTI6_05..xls,14,2,21,214,2140
214010,실리콘수지,KITA_MTI6_03.xls,77,2,21,214,2140
214011,아세탈수지,KITA_MTI6_03.xls,43,2,21,214,2140
214012,에폭시수지,KITA_MTI6_02.xls,30,2,21,214,2140
214013,폴리카보네이트,KITA_MTI6_01.xls,91,2,21,214,2140
214014,폴리에스테르수지,KITA_MTI6_02.xls,14,2,21,214,2140
214015,폴리아미드수지,KITA_MTI6_03.xls,42,2,21,214,2140
214090,기타합성수지,KITA_MTI6_01.xls,27,2,21,214,2140
215010,SNR-L(스티렌 변성 천연 고무-L),KITA_MTI6_06.xls,13,2,21,215,2150
215020,SBR(스티렌부타디엔 고무),KITA_MTI6_02.xls,8,2,21,215,2150
