기준월,요청_HSK10,수출액_USD
2025-07-01,8541291000,81798170.0
2025-07-01,8541299000,22050326.0
2025-07-01,8541301000,37226.0
2025-07-01,8541302000,347430.0
2025-07-01,8541303000,10560.0
2025-07-01,8541304000,30042.0
2025-07-01,8541411000,1530724.0
2025-07-01,8541419000,25282001.0
2025-07-01,8541420000,1264515.0
2025-07-01,8541491000,6201952.0
2025-07-01,8541492000,0.0
2025-07-01,8541493000,45750765.0
2025-07-01,8541499000,4439553.0
2025-07-01,8541511000,1356633.0
2025-07-01,8541512000,106929.0
2025-07-01,8541513000,24348.0
2025-07-01,8541514000,171095.0
2025-07-01,8541591000,15025891.0
2025-07-01,8541599000,2799992.0
2025-07-01,8541601000,4089455.0
2025-07-01,8541609000,2887345.0
2025-07-01,8541902000,786690.0
2025-07-01,8541903000,1285509.0
2025-07-01,8541909000,6235708.0
2025-07-01,8542311000,2918544666.0
2025-07-01,8542312000,278997.0
2025-07-01,8542313000,289629533.0
2025-07-01,8542314000,605606699.0
2025-07-01,8542321010,2387705705.0
2025-07-01,8542321020,1058781.0
2025-07-01,8542321030,461593203.0
2025-07-01,8542321090,45604438.0
2025-07-01,8542322000,7636.0
2025-07-01,8542323000,4194558010.0
2025-07-01,8542324000,470253436.0
2025-07-01,8542331000,8309907.0
2025-07-01,8542332000,705110.0
2025-07-01,8542333000,1110473.0
2025-07-01,8542334000,1651099.0
2025-07-01,8542391000,831340706.0
2025-07-01,8542392000,1036006.0
2025-07-01,8542393000,20435209.0
2025-07-01,8542394000,15102133.0
2025-07-01,8542900000,34181974.0
2025-07-01,8543901000,21584.0
2025-07-01,8548001000,4470.0
2025-08-01,3818001000,78613618.0
2025-08-01,3818002010,21514.0
2025-08-01,3818002090,150728052.0
2025-08-01,8473304060,1987285265.0
2025-08-01,8523521000,12446546.0
2025-08-01,8523522000,333863.0
2025-08-01,8523529000,1170847.0
2025-08-01,8541101000,4241107.0
2025-08-01,8541109000,19273794.0
2025-08-01,8541211000,14498252.0
2025-08-01,8541219000,9983101.0
2025-08-01,8541291000,68297246.0
2025-08-01,8541299000,21915820.0
2025-08-01,8541301000,21500.0
2025-08-01,8541302000,355582.0
2025-08-01,8541303000,7742.0
2025-08-01,8541304000,24660.0
2025-08-01,8541411000,1426883.0
2025-08-01,8541419000,21475684.0
2025-08-01,8541420000,5727851.0
2025-08-01,8541491000,6228734.0
2025-08-01,8541492000,52617.0
2025-08-01,8541493000,39487140.0
2025-08-01,8541499000,4173679.0
2025-08-01,8541511000,465016.0
2025-08-01,8541512000,58989.0
2025-08-01,8541513000,12217.0
2025-08-01,8541514000,146486.0
2025-08-01,8541591000,16012507.0
2025-08-01,8541599000,1786099.0
2025-08-01,8541601000,3777826.0
2025-08-01,8541609000,2689564.0
2025-08-01,8541902000,711769.0
2025-08-01,8541903000,808073.0
2025-08-01,8541909000,5299306.0
2025-08-01,8542311000,2274224773.0
2025-08-01,8542312000,376228.0
2025-08-01,8542313000,313693286.0
2025-08-01,8542314000,633947579.0
