기준월,HSK10,수출액_USD,MTI6,산업20
2025-01-01,0307431090,2304.0,043100,농수산식품
2025-01-01,0307432010,3535962.0,043100,농수산식품
2025-01-01,0307432090,1411073.0,043100,농수산식품
2025-01-01,0307492090,661.0,046290,농수산식품
2025-01-01,0307493010,11127.0,043100,농수산식품
2025-01-01,0307493090,159405.0,043100,농수산식품
2025-01-01,0307494090,5.0,043100,농수산식품
2025-01-01,0307511000,47159.0,043200,농수산식품
2025-01-01,0307512000,1413.0,043200,농수산식품
2025-01-01,0307519000,9911.0,043200,농수산식품
2025-01-01,0307521000,1021755.0,043200,농수산식품
2025-01-01,0307522000,34836.0,043300,농수산식품
2025-01-01,0307523000,7189.0,043200,농수산식품
2025-01-01,0307592000,17.0,046300,농수산식품
2025-01-01,0307599000,2842.0,046290,농수산식품
2025-01-01,0307600000,0.0,043900,농수산식품
2025-01-01,0307711000,173.0,043590,농수산식품
2025-01-01,0307712090,309724.0,043510,농수산식품
2025-01-01,0307714000,0.0,043590,농수산식품
2025-01-01,0307719000,243337.0,043590,농수산식품
2025-01-01,0307723000,39912.0,043590,농수산식품
2025-01-01,0307724000,0.0,043510,농수산식품
2025-01-01,0307729000,210326.0,043590,농수산식품
2025-01-01,0307792010,0.0,046300,농수산식품
2025-01-01,0307792020,30.0,046300,농수산식품
2025-01-01,0307792090,1223.0,046300,농수산식품
2025-01-01,0307793090,2065.0,046290,농수산식품
2025-01-01,0307794090,0.0,043590,농수산식품
2025-01-01,0307810000,3090780.0,043590,농수산식품
2025-01-01,0307820000,23984.0,043590,농수산식품
2025-01-01,0307830000,89068.0,043590,농수산식품
2025-01-01,0307872000,314.0,046290,농수산식품
2025-01-01,0307911000,548748.0,043900,농수산식품
2025-01-01,0307913000,50170.0,043900,농수산식품
2025-01-01,0307914000,0.0,043590,농수산식품
2025-01-01,0307919000,962992.0,043900,농수산식품
2025-01-01,0307921000,0.0,043900,농수산식품
2025-01-01,0307922000,462823.0,043900,농수산식품
2025-01-01,0307929000,504686.0,043900,농수산식품
2025-01-01,0307992100,0.0,046300,농수산식품
2025-01-01,0307993000,0.0,049090,농수산식품
2025-01-01,0307994900,2716.0,049090,농수산식품
2025-01-01,0308110000,22414.0,049090,농수산식품
2025-01-01,0308120000,318.0,049090,농수산식품
2025-01-01,0308192000,1250.0,049090,농수산식품
2025-01-01,0308210000,0.0,049090,농수산식품
2025-01-01,0308220000,0.0,049090,농수산식품
2025-01-01,0308293000,222267.0,049090,농수산식품
2025-01-01,0308303000,12491.0,046300,농수산식품
2025-01-01,0308304000,544979.0,049090,농수산식품
2025-01-01,0308901019,21753.0,049090,농수산식품
2025-01-01,0308901090,6147.0,049090,농수산식품
2025-01-01,0308902010,10547.0,049090,농수산식품
2025-01-01,0308902090,8719.0,049090,농수산식품
2025-01-01,0309100000,132.0,049010,농수산식품
2025-01-01,0309902000,14.0,049010,농수산식품
2025-01-01,0309909000,0.0,049010,농수산식품
2025-01-01,0401100000,27578.0,024310,농수산식품
2025-01-01,0401200000,263819.0,024310,농수산식품
2025-01-01,0401401000,0.0,024310,농수산식품
2025-01-01,0401409000,50570.0,024310,농수산식품
2025-01-01,0401501000,0.0,024310,농수산식품
2025-01-01,0401509000,128.0,024310,농수산식품
2025-01-01,0402101010,739.0,024320,농수산식품
2025-01-01,0402101090,0.0,024320,농수산식품
2025-01-01,0402109000,0.0,024320,농수산식품
2025-01-01,0402211000,0.0,024320,농수산식품
2025-01-01,0402219000,302.0,024320,농수산식품
2025-01-01,0402290000,0.0,024320,농수산식품
2025-01-01,0402991000,173.0,024390,농수산식품
2025-01-01,0402999000,4081803.0,024390,농수산식품
2025-01-01,0403201000,93083.0,016900,농수산식품
2025-01-01,0403202000,367924.0,016900,농수산식품
2025-01-01,0403209000,130902.0,016900,농수산식품
2025-01-01,0403901000,0.0,024390,농수산식품
2025-01-01,0403909000,60094.0,024350,농수산식품
2025-01-01,0404101011,0.0,024390,농수산식품
2025-01-01,0404101019,2598.0,024390,농수산식품
2025-01-01,0404102119,0.0,024390,농수산식품
2025-01-01,0404102129,0.0,024390,농수산식품
2025-01-01,0404102131,0.0,024390,농수산식품
2025-01-01,0404102139,0.0,024390,농수산식품
2025-01-01,0404102191,0.0,024390,농수산식품
2025-01-01,0404102199,0.0,024390,농수산식품
2025-01-01,0404102910,0.0,024390,농수산식품
2025-01-01,0404102990,0.0,024390,농수산식품
2025-01-01,0404901000,0.0,024390,농수산식품
2025-01-01,0404902000,553586.0,024390,농수산식품
2025-01-01,0405100000,761.0,024330,농수산식품
