산업20,소분류코드,공식소분류명,신성질코드,신성질품목명,시작월,종료월,상태,item수,resultCode,resultMsg
생활용품,12040000,4)내구성 생활용품,12049001,(기타 내구성 생활용품),202501,202512,OK,957,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12049001,(기타 내구성 생활용품),202601,202608,OK,631,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13060101,"(종이제 생활용품(가정용 화장지, 패드, 냅킨))",202501,202512,OK,803,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13060101,"(종이제 생활용품(가정용 화장지, 패드, 냅킨))",202601,202608,OK,553,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13060201,(문구류),202501,202512,OK,1504,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13060201,(문구류),202601,202608,OK,992,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13060301,(운동용구),202501,202512,OK,927,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13060301,(운동용구),202601,202608,OK,636,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13069001,(기타 비내구성 생활용품),202501,202512,OK,1317,00,정상서비스.
생활용품,13060000,6)비내구성 생활용품,13069001,(기타 비내구성 생활용품),202601,202608,OK,903,00,정상서비스.
석유화학,25010000,1)석유화학제품,25010101,(합성수지),202501,202512,OK,1569,00,정상서비스.
석유화학,25010000,1)석유화학제품,25010101,(합성수지),202601,202608,OK,1020,00,정상서비스.
석유화학,25010000,1)석유화학제품,25010201,(석유화학섬유원료),202501,202512,OK,268,00,정상서비스.
석유화학,25010000,1)석유화학제품,25010201,(석유화학섬유원료),202601,202608,OK,185,00,정상서비스.
석유화학,25010000,1)석유화학제품,25010301,(합성고무),202501,202512,OK,713,00,정상서비스.
석유화학,25010000,1)석유화학제품,25010301,(합성고무),202601,202608,OK,463,00,정상서비스.
석유화학,25010000,1)석유화학제품,25019001,(기타 석유화학제품),202501,202512,OK,317,00,정상서비스.
석유화학,25010000,1)석유화학제품,25019001,(기타 석유화학제품),202601,202608,OK,196,00,정상서비스.
선박류,31040000,4)선박,31040101,(여객선),202501,202512,OK,13,00,정상서비스.
선박류,31040000,4)선박,31040101,(여객선),202601,202608,OK,4,00,정상서비스.
선박류,31040000,4)선박,31040201,(화물선),202501,202512,OK,140,00,정상서비스.
선박류,31040000,4)선박,31040201,(화물선),202601,202608,OK,105,00,정상서비스.
선박류,31040000,4)선박,31040301,(어선),202501,202512,OK,6,00,정상서비스.
선박류,31040000,4)선박,31040301,(어선),202601,202608,OK,4,00,정상서비스.
선박류,31040000,4)선박,31040401,(요트),202501,202512,OK,39,00,정상서비스.
선박류,31040000,4)선박,31040401,(요트),202601,202608,OK,24,00,정상서비스.
선박류,31040000,4)선박,31040501,(모터보트),202501,202512,OK,45,00,정상서비스.
선박류,31040000,4)선박,31040501,(모터보트),202601,202608,OK,33,00,정상서비스.
선박류,31040000,4)선박,31040601,(예인선),202501,202512,OK,9,00,정상서비스.
선박류,31040000,4)선박,31040601,(예인선),202601,202608,OK,6,00,정상서비스.
선박류,31040000,4)선박,31040701,(군함),202501,202512,OK,7,00,정상서비스.
선박류,31040000,4)선박,31040701,(군함),202601,202608,OK,2,00,정상서비스.
선박류,31040000,4)선박,31049001,(기타 선박),202501,202512,OK,36,00,정상서비스.
선박류,31040000,4)선박,31049001,(기타 선박),202601,202608,OK,20,00,정상서비스.
섬유류,22010000,1)섬유원료,22010101,(견),202501,202512,OK,2,00,정상서비스.
섬유류,22010000,1)섬유원료,22010101,(견),202601,202608,OK,1,00,정상서비스.
섬유류,22010000,1)섬유원료,22010102,(모),202501,202512,OK,22,00,정상서비스.
섬유류,22010000,1)섬유원료,22010102,(모),202601,202608,OK,13,00,정상서비스.
섬유류,22010000,1)섬유원료,22010103,(면),202501,202512,OK,87,00,정상서비스.
섬유류,22010000,1)섬유원료,22010103,(면),202601,202608,OK,67,00,정상서비스.
섬유류,22010000,1)섬유원료,22010104,(마),202501,202512,OK,15,00,정상서비스.
섬유류,22010000,1)섬유원료,22010104,(마),202601,202608,OK,4,00,정상서비스.
섬유류,22010000,1)섬유원료,22010201,(나일론섬유),202501,202512,OK,168,00,정상서비스.
섬유류,22010000,1)섬유원료,22010201,(나일론섬유),202601,202608,OK,115,00,정상서비스.
섬유류,22010000,1)섬유원료,22010202,(폴리에스테르섬유),202501,202512,OK,732,00,정상서비스.
섬유류,22010000,1)섬유원료,22010202,(폴리에스테르섬유),202601,202608,OK,470,00,정상서비스.
섬유류,22010000,1)섬유원료,22010290,(기타 합성섬유),202501,202512,OK,497,00,정상서비스.
섬유류,22010000,1)섬유원료,22010290,(기타 합성섬유),202601,202608,OK,305,00,정상서비스.
섬유류,22010000,1)섬유원료,22010301,(아세테이트섬유),202501,202512,OK,47,00,정상서비스.
섬유류,22010000,1)섬유원료,22010301,(아세테이트섬유),202601,202608,OK,22,00,정상서비스.
섬유류,22010000,1)섬유원료,22010302,(비스코스섬유),202501,202512,OK,4,00,정상서비스.
섬유류,22010000,1)섬유원료,22010302,(비스코스섬유),202601,202608,OK,3,00,정상서비스.
섬유류,22010000,1)섬유원료,22010390,(기타 재생·반합성섬유),202501,202512,OK,6,00,정상서비스.
섬유류,22010000,1)섬유원료,22010390,(기타 재생·반합성섬유),202601,202608,OK,4,00,정상서비스.
섬유류,22010000,1)섬유원료,22010391,(모든 재생·반합성섬유),202501,202512,OK,17,00,정상서비스.
섬유류,22010000,1)섬유원료,22010391,(모든 재생·반합성섬유),202601,202608,OK,5,00,정상서비스.
섬유류,22020000,2)섬유사,22020101,(견사),202501,202512,OK,2,00,정상서비스.
섬유류,22020000,2)섬유사,22020101,(견사),202601,202608,OK,2,00,정상서비스.
섬유류,22020000,2)섬유사,22020102,(모사),202501,202512,OK,157,00,정상서비스.
섬유류,22020000,2)섬유사,22020102,(모사),202601,202608,OK,107,00,정상서비스.
섬유류,22020000,2)섬유사,22020103,(면사),202501,202512,OK,253,00,정상서비스.
섬유류,22020000,2)섬유사,22020103,(면사),202601,202608,OK,230,00,정상서비스.
섬유류,22020000,2)섬유사,22020104,(마사),202501,202512,OK,27,00,정상서비스.
섬유류,22020000,2)섬유사,22020104,(마사),202601,202608,OK,18,00,정상서비스.
섬유류,22020000,2)섬유사,22020201,(나일론사(장섬유사)),202501,202512,OK,486,00,정상서비스.
섬유류,22020000,2)섬유사,22020201,(나일론사(장섬유사)),202601,202608,OK,288,00,정상서비스.
섬유류,22020000,2)섬유사,22020202,(폴리에스테르사(장섬유사)),202501,202512,OK,548,00,정상서비스.
섬유류,22020000,2)섬유사,22020202,(폴리에스테르사(장섬유사)),202601,202608,OK,353,00,정상서비스.
섬유류,22020000,2)섬유사,22020290,(기타 합성섬유사(장섬유사)),202501,202512,OK,666,00,정상서비스.
섬유류,22020000,2)섬유사,22020290,(기타 합성섬유사(장섬유사)),202601,202608,OK,425,00,정상서비스.
섬유류,22020000,2)섬유사,22020301,(아세테이트사(장섬유사)),202501,202512,OK,12,00,정상서비스.
섬유류,22020000,2)섬유사,22020301,(아세테이트사(장섬유사)),202601,202608,OK,5,00,정상서비스.
섬유류,22020000,2)섬유사,22020302,(비스코스사(장섬유사)),202501,202512,OK,177,00,정상서비스.
섬유류,22020000,2)섬유사,22020302,(비스코스사(장섬유사)),202601,202608,OK,123,00,정상서비스.
섬유류,22020000,2)섬유사,22020390,(기타 재생·반합성섬유사(장섬유사)),202501,202512,OK,49,00,정상서비스.
섬유류,22020000,2)섬유사,22020390,(기타 재생·반합성섬유사(장섬유사)),202601,202608,OK,35,00,정상서비스.
섬유류,22020000,2)섬유사,22020401,(나일론사(방적사)),202501,202512,OK,70,00,정상서비스.
섬유류,22020000,2)섬유사,22020401,(나일론사(방적사)),202601,202608,OK,37,00,정상서비스.
섬유류,22020000,2)섬유사,22020402,(폴리에스테르사(방적사)),202501,202512,OK,244,00,정상서비스.
섬유류,22020000,2)섬유사,22020402,(폴리에스테르사(방적사)),202601,202608,OK,161,00,정상서비스.
섬유류,22020000,2)섬유사,22020403,(아크릴사(방적사)),202501,202512,OK,51,00,정상서비스.
섬유류,22020000,2)섬유사,22020403,(아크릴사(방적사)),202601,202608,OK,37,00,정상서비스.
섬유류,22020000,2)섬유사,22020490,(기타 합성섬유사(방적사)),202501,202512,OK,142,00,정상서비스.
섬유류,22020000,2)섬유사,22020490,(기타 합성섬유사(방적사)),202601,202608,OK,98,00,정상서비스.
섬유류,22020000,2)섬유사,22020491,(모든 합성섬유사(방적사)),202501,202512,OK,38,00,정상서비스.
섬유류,22020000,2)섬유사,22020491,(모든 합성섬유사(방적사)),202601,202608,OK,33,00,정상서비스.
섬유류,22020000,2)섬유사,22020502,(비스코스사(방적사)),202501,202512,OK,48,00,정상서비스.
섬유류,22020000,2)섬유사,22020502,(비스코스사(방적사)),202601,202608,OK,28,00,정상서비스.
섬유류,22020000,2)섬유사,22020590,(기타 재생·반합성섬유사(방적사)),202501,202512,OK,31,00,정상서비스.
섬유류,22020000,2)섬유사,22020590,(기타 재생·반합성섬유사(방적사)),202601,202608,OK,16,00,정상서비스.
섬유류,22020000,2)섬유사,22020591,(모든 재생·반합성섬유사(방적사)),202501,202512,OK,21,00,정상서비스.
섬유류,22020000,2)섬유사,22020591,(모든 재생·반합성섬유사(방적사)),202601,202608,OK,11,00,정상서비스.
섬유류,22020000,2)섬유사,22029001,(기타 섬유사),202501,202512,OK,308,00,정상서비스.
섬유류,22020000,2)섬유사,22029001,(기타 섬유사),202601,202608,OK,224,00,정상서비스.
섬유류,22030000,3)섬유직물,22030101,(천연섬유직물),202501,202512,OK,641,00,정상서비스.
섬유류,22030000,3)섬유직물,22030101,(천연섬유직물),202601,202608,OK,400,00,정상서비스.
섬유류,22030000,3)섬유직물,22030201,(나일론 직물),202501,202512,OK,488,00,정상서비스.
섬유류,22030000,3)섬유직물,22030201,(나일론 직물),202601,202608,OK,322,00,정상서비스.
섬유류,22030000,3)섬유직물,22030202,(폴리에스테르 직물),202501,202512,OK,938,00,정상서비스.
섬유류,22030000,3)섬유직물,22030202,(폴리에스테르 직물),202601,202608,OK,601,00,정상서비스.
섬유류,22030000,3)섬유직물,22030203,(아크릴 직물),202501,202512,OK,28,00,정상서비스.
섬유류,22030000,3)섬유직물,22030203,(아크릴 직물),202601,202608,OK,15,00,정상서비스.
섬유류,22030000,3)섬유직물,22030204,(폴리에스테르 또는 아크릴 직물),202501,202512,OK,340,00,정상서비스.
섬유류,22030000,3)섬유직물,22030204,(폴리에스테르 또는 아크릴 직물),202601,202608,OK,233,00,정상서비스.
섬유류,22030000,3)섬유직물,22030290,(기타 합성장섬유 직물),202501,202512,OK,190,00,정상서비스.
섬유류,22030000,3)섬유직물,22030290,(기타 합성장섬유 직물),202601,202608,OK,139,00,정상서비스.
섬유류,22030000,3)섬유직물,22030301,(재생·반합성장섬유 직물),202501,202512,OK,356,00,정상서비스.
섬유류,22030000,3)섬유직물,22030301,(재생·반합성장섬유 직물),202601,202608,OK,226,00,정상서비스.
섬유류,22030000,3)섬유직물,22030401,(합성단섬유 직물),202501,202512,OK,480,00,정상서비스.
섬유류,22030000,3)섬유직물,22030401,(합성단섬유 직물),202601,202608,OK,299,00,정상서비스.
섬유류,22030000,3)섬유직물,22030501,(재생·반합성단섬유 직물),202501,202512,OK,390,00,정상서비스.
섬유류,22030000,3)섬유직물,22030501,(재생·반합성단섬유 직물),202601,202608,OK,225,00,정상서비스.
섬유류,22030000,3)섬유직물,22030601,(편직물),202501,202512,OK,970,00,정상서비스.
섬유류,22030000,3)섬유직물,22030601,(편직물),202601,202608,OK,608,00,정상서비스.
섬유류,22030000,3)섬유직물,22039001,(기타 직물),202501,202512,OK,1081,00,정상서비스.
섬유류,22030000,3)섬유직물,22039001,(기타 직물),202601,202608,OK,730,00,정상서비스.
섬유류,22900000,4)기타 섬유제품(의류 제외),22900101,(기타 섬유제품(의류 제외)),202501,202512,OK,1346,00,정상서비스.
섬유류,22900000,4)기타 섬유제품(의류 제외),22900101,(기타 섬유제품(의류 제외)),202601,202608,OK,872,00,정상서비스.
일반기계,32030000,3)일반기계,32030101,(증기터빈),202501,202512,OK,1,00,정상서비스.
일반기계,32030000,3)일반기계,32030101,(증기터빈),202601,202608,OK,3,00,정상서비스.
일반기계,32030000,3)일반기계,32030102,(수력터빈),202501,202512,OK,6,00,정상서비스.
일반기계,32030000,3)일반기계,32030102,(수력터빈),202601,202608,OK,0,00,정상서비스.
일반기계,32030000,3)일반기계,32030103,(불꽃 점화식 내연기관),202501,202512,OK,1724,00,정상서비스.
일반기계,32030000,3)일반기계,32030103,(불꽃 점화식 내연기관),202601,202608,OK,1148,00,정상서비스.
일반기계,32030000,3)일반기계,32030104,(압축 점화식 내연기관),202501,202512,OK,752,00,정상서비스.
일반기계,32030000,3)일반기계,32030104,(압축 점화식 내연기관),202601,202608,OK,500,00,정상서비스.
일반기계,32030000,3)일반기계,32030105,(터보제트),202501,202512,OK,19,00,정상서비스.
일반기계,32030000,3)일반기계,32030105,(터보제트),202601,202608,OK,6,00,정상서비스.
일반기계,32030000,3)일반기계,32030106,(내연기관 및 터빈의 부품),202501,202512,OK,600,00,정상서비스.
일반기계,32030000,3)일반기계,32030106,(내연기관 및 터빈의 부품),202601,202608,OK,387,00,정상서비스.
일반기계,32030000,3)일반기계,32030190,(기타 내연기관 및 터빈),202501,202512,OK,188,00,정상서비스.
일반기계,32030000,3)일반기계,32030190,(기타 내연기관 및 터빈),202601,202608,OK,113,00,정상서비스.
일반기계,32030000,3)일반기계,32030201,(액체펌프),202501,202512,OK,1222,00,정상서비스.
일반기계,32030000,3)일반기계,32030201,(액체펌프),202601,202608,OK,836,00,정상서비스.
일반기계,32030000,3)일반기계,32030202,(기체펌프),202501,202512,OK,1215,00,정상서비스.
일반기계,32030000,3)일반기계,32030202,(기체펌프),202601,202608,OK,824,00,정상서비스.
일반기계,32030000,3)일반기계,32030203,(펌프 부품),202501,202512,OK,1254,00,정상서비스.
일반기계,32030000,3)일반기계,32030203,(펌프 부품),202601,202608,OK,830,00,정상서비스.
일반기계,32030000,3)일반기계,32030301,(운반하역기계),202501,202512,OK,900,00,정상서비스.
일반기계,32030000,3)일반기계,32030301,(운반하역기계),202601,202608,OK,571,00,정상서비스.
일반기계,32030000,3)일반기계,32030302,(운반하역기계 부품),202501,202512,OK,1083,00,정상서비스.
일반기계,32030000,3)일반기계,32030302,(운반하역기계 부품),202601,202608,OK,710,00,정상서비스.
일반기계,32030000,3)일반기계,32030401,(냉방기),202501,202512,OK,799,00,정상서비스.
일반기계,32030000,3)일반기계,32030401,(냉방기),202601,202608,OK,533,00,정상서비스.
일반기계,32030000,3)일반기계,32030402,(가열기구),202501,202512,OK,522,00,정상서비스.
일반기계,32030000,3)일반기계,32030402,(가열기구),202601,202608,OK,333,00,정상서비스.
일반기계,32030000,3)일반기계,32030403,(증기발생 보일러),202501,202512,OK,234,00,정상서비스.
일반기계,32030000,3)일반기계,32030403,(증기발생 보일러),202601,202608,OK,186,00,정상서비스.
일반기계,32030000,3)일반기계,32030404,(온수 보일러),202501,202512,OK,167,00,정상서비스.
일반기계,32030000,3)일반기계,32030404,(온수 보일러),202601,202608,OK,101,00,정상서비스.
일반기계,32030000,3)일반기계,32030405,(공기조절기),202501,202512,OK,999,00,정상서비스.
일반기계,32030000,3)일반기계,32030405,(공기조절기),202601,202608,OK,632,00,정상서비스.
일반기계,32030000,3)일반기계,32030406,(냉난방기계 부품),202501,202512,OK,1407,00,정상서비스.
일반기계,32030000,3)일반기계,32030406,(냉난방기계 부품),202601,202608,OK,926,00,정상서비스.
