산업순위,산업20,기준월,수출액_USD,수출액_bn,MoM_%,YoY_%,3M_YoY_%,세세분류수
10,무선통신기기,202602,282071.0,0.000282071,-8.463383211477494,-6.675026303077624,,9
10,무선통신기기,202603,3832375.0,0.003832375,1258.6561539470558,122.82830526351289,49.594404260328126,8
10,무선통신기기,202604,712682.0,0.000712682,-81.40364656381487,-40.53078884016672,49.88618329473202,8
10,무선통신기기,202605,429453.0,0.000429453,-39.741287137881976,-86.13102785013541,-17.295298169427497,8
10,무선통신기기,202606,545896.0,0.000545896,27.114259301949218,278.4190715181932,-61.97412395667292,8
10,무선통신기기,202607,385088.0,0.000385088,-29.457625628324813,202.53996936009742,-59.60750512760522,8
10,무선통신기기,202608,368465.0,0.000368465,-4.316675668938008,8.844250793885244,113.00103103429623,8
13,디스플레이,202501,6516264.0,0.006516264,,,,3
13,디스플레이,202502,38693586.0,0.038693586,493.8001591095757,,,3
13,디스플레이,202503,35027395.0,0.035027395,-9.47493209856538,,,3
13,디스플레이,202504,9364511.0,0.009364511,-73.26518001124549,,,3
13,디스플레이,202505,11262343.0,0.011262343,20.26621571590872,,,3
13,디스플레이,202506,52692.0,5.2692e-05,-99.53213998188475,,,3
13,디스플레이,202507,6380890.0,0.00638089,12009.788962271312,,,3
13,디스플레이,202508,4928840.0,0.00492884,-22.756229930307526,,,3
13,디스플레이,202509,47526.0,4.7526e-05,-99.0357568920882,,,3
13,디스플레이,202510,106266.0,0.000106266,123.59550561797752,,,3
13,디스플레이,202511,7495506.0,0.007495506,6953.531703461125,,,3
13,디스플레이,202512,12411685.0,0.012411685,65.58835387497521,,,3
13,디스플레이,202601,257296.0,0.000257296,-97.92698573964775,-96.05147980499255,,3
13,디스플레이,202602,12455800.0,0.0124558,4741.03911448293,-67.80913508507585,,3
13,디스플레이,202603,16075018.0,0.016075018,29.05648774065095,-54.1072980163098,-64.12125815137347,3
13,디스플레이,202604,26099.0,2.6099e-05,-99.83764248351075,-99.72129884838621,-65.62947836909963,3
13,디스플레이,202605,11512114.0,0.011512114,44009.40649067014,2.2177534461523596,-50.384325552573706,3
13,디스플레이,202606,127007.0,0.000127007,-98.89675345466523,141.03658999468612,-43.59054110762393,3
13,디스플레이,202607,71604.0,7.1604e-05,-43.62200508633383,-98.8778367907925,-33.822476078532205,3
13,디스플레이,202608,100164.0,0.000100164,39.886039886039896,-97.96779769682115,-97.37049900100524,3
15,화장품,202501,267405.0,0.000267405,,,,8
15,화장품,202502,76455.0,7.6455e-05,-71.4085376114882,,,8
15,화장품,202503,130539.0,0.000130539,70.73965077496567,,,8
