기준월,HSK10,수출액_USD
2025-01-01,2601119000,0.0
2025-01-01,2601121000,0.0
2025-01-01,2601122000,0.0
2025-01-01,2602000000,0.0
2025-01-01,2603000000,21002902.0
2025-01-01,2604000000,15287.0
2025-01-01,2606000000,0.0
2025-01-01,2607000000,84185.0
2025-01-01,2608000000,157902.0
2025-01-01,2610000000,0.0
2025-01-01,2611009000,0.0
2025-01-01,2613100000,13797518.0
2025-01-01,2613900000,0.0
2025-01-01,2614001000,0.0
2025-01-01,2614009000,356427.0
2025-01-01,2615100000,41206.0
2025-01-01,2615903000,147390.0
2025-01-01,2616100000,0.0
2025-01-01,2616901000,0.0
2025-01-01,2616902000,0.0
2025-01-01,2617100000,0.0
2025-01-01,2617902000,0.0
2025-01-01,2617904000,1066.0
2025-01-01,2618000000,381574.0
2025-01-01,2619001010,0.0
2025-01-01,2619003000,183.0
2025-01-01,2619009000,420968.0
2025-01-01,2620110000,0.0
2025-01-01,2620190000,126573.0
2025-01-01,2620290000,0.0
2025-01-01,2620300000,0.0
2025-01-01,2620400000,17875.0
2025-01-01,2620990000,489275.0
2025-01-01,2621100000,0.0
2025-01-01,2621902000,0.0
2025-01-01,2621909000,0.0
2025-01-01,2701110000,16078.0
2025-01-01,2701121000,0.0
2025-01-01,2701122000,0.0
2025-01-01,2701129010,0.0
2025-01-01,2701129090,0.0
2025-01-01,2701190000,0.0
2025-01-01,2702100000,0.0
2025-01-01,2703001000,0.0
2025-01-01,2703002000,3884.0
2025-01-01,2704001010,0.0
2025-01-01,2704001090,0.0
2025-01-01,2704002000,0.0
2025-01-01,2705000000,41660.0
2025-01-01,2706001000,0.0
2025-01-01,2706009000,0.0
2025-01-01,2709001010,0.0
2025-01-01,2709001030,0.0
2025-01-01,2709001040,0.0
2025-01-01,2709001050,0.0
2025-01-01,2709001060,0.0
2025-01-01,2709001080,0.0
2025-01-01,2709001090,0.0
2025-01-01,2711110000,2025499.0
2025-01-01,2711120000,3303695.0
2025-01-01,2711130000,12490995.0
2025-01-01,2711210000,6.0
2025-01-01,2801100000,69908.0
2025-01-01,2801200000,235018.0
2025-01-01,2801301000,197210.0
2025-01-01,2801302000,0.0
2025-01-01,2802001000,0.0
2025-01-01,2802002000,203.0
2025-01-01,2802003000,839.0
2025-01-01,2803001000,10281.0
2025-01-01,2803009011,122351.0
2025-01-01,2803009019,29056797.0
2025-01-01,2803009090,2066532.0
2025-01-01,2804100000,1988.0
2025-01-01,2804210000,79688.0
2025-01-01,2804291000,2687371.0
2025-01-01,2804292000,0.0
2025-01-01,2804294000,4004620.0
