산업,MTI3,MTI4,MTI6코드,품목명,매칭키워드
비철금속,742,7421,742130,차량용구동모터,동
비철금속,747,7471,747130,무동력항공기,동
비철금속,752,7521,752160,원동기부품,동
비철금속,752,7521,752190,기타원동기,동
비철금속,761,7615,761500,전동축및기어,동
비철금속,763,7634,763490,기타전동공구,동
비철금속,814,8144,814410,현금자동처리기,동
비철금속,814,8145,814510,음료자동판매기,동
비철금속,814,8145,814520,식품자동판매기,동
비철금속,814,8145,814530,자동판매기부품,동
비철금속,814,8145,814590,기타자동판매기,동
비철금속,815,8153,815300,자동제어기,동
비철금속,815,8154,815400,자동제어기부품,동
비철금속,841,8414,841430,고압자동제어반,동
비철금속,842,8421,842120,동축케이블,동
비철금속,842,8422,842210,소형전동기,동
비철금속,842,8422,842220,교류 및 직류겸용 전동기,동
비철금속,842,8422,842230,직류전동기,동
비철금속,842,8425,842530,자동제어반,동
비철금속,849,8491,849110,전동기 부분품,동
비철금속,924,9240,924000,골동품,동
전기기기,621,6214,621400,알루미늄케이블,케이블
전기기기,841,8411,841121,태양광 직류발전기,발전기
전기기기,841,8411,841129,기타직류발전기,발전기
전기기기,841,8411,841131,태양광 교류발전기,발전기
전기기기,841,8411,841139,기타교류발전기,발전기
전기기기,841,8412,841210,유입식 변압기,변압기
전기기기,841,8412,841220,건식 변압기,변압기
전기기기,841,8413,841310,고압 개폐기 및 차단기,차단기
전기기기,841,8413,841320,저압스위치 및 차단기,차단기
전기기기,841,8415,841510,저압케이블,케이블
전기기기,841,8415,841520,고압케이블,케이블
전기기기,842,8421,842120,동축케이블,케이블
전기기기,842,8421,842160,광케이블,케이블
전기기기,842,8422,842210,소형전동기,전동기
전기기기,842,8422,842220,교류 및 직류겸용 전동기,전동기
전기기기,842,8422,842230,직류전동기,전동기
전기기기,849,8491,849110,전동기 부분품,전동기
전기기기,849,8491,849120,발전기 부분품,발전기
전기기기,849,8492,849240,차단기 부분품,차단기
바이오헬스,931,9311,931110,바이오의약품,"바이오, 의약품"
바이오헬스,931,9311,931120,화학의약품,의약품
바이오헬스,931,9312,931210,바이오원료,바이오
바이오헬스,932,9320,932010,체외진단용시약,진단
바이오헬스,932,9320,932030,영상진단장비,진단
바이오헬스,932,9320,932050,안과및광학의료기기,의료기기
농수산식품,013,0133,013300,농산물왁스,농산
농수산식품,015,0159,015940,과일주스,과일
농수산식품,016,0169,016900,기타농산가공품,농산
농수산식품,019,0190,019000,기타농산물,농산
농수산식품,031,0318,031840,목제장식품상자,식품
농수산식품,041,0419,041900,기타어류,어류
농수산식품,046,0461,046110,어류통조림,어류
농수산식품,046,0461,046190,기타수산물통조림,수산
농수산식품,046,0462,046290,기타염장수산물,수산
농수산식품,046,0463,046300,건조수산물,수산
농수산식품,046,0469,046900,기타수산가공품,수산
농수산식품,047,0470,047000,수산부산물,수산
농수산식품,049,0490,049090,기타수산물,수산
농수산식품,228,2283,228300,수산화나트륨,수산
농수산식품,242,2423,242300,도자기장식품,식품
농수산식품,243,2437,243700,유리식기및장식품,식품
농수산식품,518,5183,518310,귀금속장식품,식품
농수산식품,518,5183,518330,진주 장식품,식품
농수산식품,518,5183,518340,모조 장식품,식품
농수산식품,715,7151,715110,식품가공기계,식품
농수산식품,715,7151,715120,식품가공기계부품,식품
농수산식품,715,7152,715210,식품포장기계,식품
농수산식품,715,7152,715220,식품포장기계부품,식품
농수산식품,814,8145,814520,식품자동판매기,식품
농수산식품,842,8424,842430,식품공업용 전기로,식품
농수산식품,962,9620,962000,귀금속장식품,식품
화장품,227,2273,227310,"향수, 화장수",향수
