신성질코드,신성질품목명,산업20,소분류코드,공식소분류명
32031702,(용접기 부품),일반기계,32030000,3)일반기계
32031801,(주조설비),일반기계,32030000,3)일반기계
32031802,(주조설비 부품),일반기계,32030000,3)일반기계
32031901,(식품가공기계),일반기계,32030000,3)일반기계
32031902,(식품가공기계 부품),일반기계,32030000,3)일반기계
32032001,(식품포장기계),일반기계,32030000,3)일반기계
32032002,(식품포장기계 부품),일반기계,32030000,3)일반기계
32039001,(기타 일반기계),일반기계,32030000,3)일반기계
32039002,(기타 일반기계 부품),일반기계,32030000,3)일반기계
12020101,"(가솔린 1,000cc이하 승용차 - 신차)",자동차,12020000,2)자동차
12020102,"(가솔린 1,000cc초과 승용차(1,500cc이하) - 신차)",자동차,12020000,2)자동차
12020103,"(가솔린 1,500cc초과 승용차(2,000cc이하) - 신차)",자동차,12020000,2)자동차
12020104,"(가솔린 2,000cc초과 승용차(3,000cc이하) - 신차)",자동차,12020000,2)자동차
12020105,"(가솔린 3,000cc초과 승용차(4,000cc이하) - 신차)",자동차,12020000,2)자동차
12020106,"(가솔린 4,000cc초과 승용차 - 신차)",자동차,12020000,2)자동차
12020201,"(가솔린 1,000cc이하 승용차 - 중고차)",자동차,12020000,2)자동차
12020202,"(가솔린 1,000cc초과 승용차(1,500cc이하) - 중고차)",자동차,12020000,2)자동차
12020203,"(가솔린 1,500cc초과 승용차(2,000cc이하) - 중고차)",자동차,12020000,2)자동차
12020204,"(가솔린 2,000cc초과 승용차(3,000cc이하) - 중고차)",자동차,12020000,2)자동차
12020205,"(가솔린 3,000cc초과 승용차(4,000cc이하) - 중고차)",자동차,12020000,2)자동차
12020206,"(가솔린 4,000cc초과 승용차 - 중고차)",자동차,12020000,2)자동차
12020301,"(디젤 1,500cc이하 승용차 - 신차)",자동차,12020000,2)자동차
12020302,"(디젤 1,500cc초과 승용차(2,000cc이하) - 신차)",자동차,12020000,2)자동차
12020303,"(디젤 2,000cc초과 승용차(2,500cc이하) - 신차)",자동차,12020000,2)자동차
12020304,"(디젤 2,500cc초과 승용차 - 신차)",자동차,12020000,2)자동차
12020401,"(디젤 1,500cc이하 승용차 - 중고차)",자동차,12020000,2)자동차
12020402,"(디젤 1,500cc초과 승용차(2,000cc이하) - 중고차)",자동차,12020000,2)자동차
12020403,"(디젤 2,000cc초과 승용차(2,500cc이하) - 중고차)",자동차,12020000,2)자동차
12020404,"(디젤 2,500cc초과 승용차 - 중고차)",자동차,12020000,2)자동차
12020501,(전기자동차),자동차,12020000,2)자동차
12020601,(신체장애인용 차량),자동차,12020000,2)자동차
12020701,(모터사이클),자동차,12020000,2)자동차
12020790,(기타 2륜차),자동차,12020000,2)자동차
31010101,(화물자동차),자동차,31010000,1)자동차(수송장비)
31010201,(특장차),자동차,31010000,1)자동차(수송장비)
31019001,(기타 자동차(수송장비)),자동차,31010000,1)자동차(수송장비)
13050101,(향수 및 화장수),화장품,13050000,5)화장품류
13050102,(기초화장품),화장품,13050000,5)화장품류
13050103,(색조화장품),화장품,13050000,5)화장품류
13050104,(매니큐어 및 패디큐어 제품),화장품,13050000,5)화장품류
13050201,(샴푸),화장품,13050000,5)화장품류
13050202,(린스),화장품,13050000,5)화장품류
13050290,(기타 헤어제품),화장품,13050000,5)화장품류
13059001,(기타 화장품류),화장품,13050000,5)화장품류
