MTI코드,코드길이,품목명,행,코드열,품목명열
1322,4,4단위,382,1,2
132200,6,6단위,1135,1,2
1323,4,4단위,383,1,2
132300,6,6단위,1136,1,2
1324,4,4단위,384,1,2
132400,6,6단위,1137,1,2
1329,4,4단위,385,1,2
132900,6,6단위,1138,1,2
133,3,3단위,98,1,2
1331,4,4단위,386,1,2
133110,6,6단위,1139,1,2
133120,6,6단위,1140,1,2
1332,4,4단위,387,1,2
133200,6,6단위,1141,1,2
1333,4,4단위,388,1,2
133310,6,6단위,1142,1,2
133320,6,6단위,1143,1,2
1334,4,4단위,389,1,2
133400,6,6단위,1144,1,2
1335,4,4단위,390,1,2
133510,6,6단위,1145,1,2
133520,6,6단위,1146,1,2
133530,6,6단위,1147,1,2
133590,6,6단위,1148,1,2
1336,4,4단위,391,1,2
133600,6,6단위,1149,1,2
1339,4,4단위,392,1,2
133900,6,6단위,1150,1,2
134,3,3단위,99,1,2
1340,4,4단위,393,1,2
134010,6,6단위,1151,1,2
134020,6,6단위,1152,1,2
135,3,3단위,100,1,2
1350,4,4단위,394,1,2
135010,6,6단위,1153,1,2
135020,6,6단위,1154,1,2
136,3,3단위,101,1,2
1360,4,4단위,395,1,2
136000,6,6단위,1155,1,2
19,2,2단위,18,1,2
190,3,3단위,102,1,2
1900,4,4단위,396,1,2
190000,6,6단위,1156,1,2
2,1,1단위,3,1,2
2026,4,1단위,1,0,2
2026,4,2단위,11,0,2
2026,4,3단위,59,0,2
2026,4,4단위,260,0,2
2026,4,6단위,847,0,2
21,2,2단위,19,1,2
211,3,3단위,103,1,2
2110,4,4단위,397,1,2
211010,6,6단위,1157,1,2
211020,6,6단위,1158,1,2
211030,6,6단위,1159,1,2
211040,6,6단위,1160,1,2
211050,6,6단위,1161,1,2
211060,6,6단위,1162,1,2
211090,6,6단위,1163,1,2
212,3,3단위,104,1,2
2120,4,4단위,398,1,2
212010,6,6단위,1164,1,2
212020,6,6단위,1165,1,2
212030,6,6단위,1166,1,2
212040,6,6단위,1167,1,2
212050,6,6단위,1168,1,2
212060,6,6단위,1169,1,2
212070,6,6단위,1170,1,2
212080,6,6단위,1171,1,2
212090,6,6단위,1172,1,2
213,3,3단위,105,1,2
2130,4,4단위,399,1,2
213010,6,6단위,1173,1,2
213020,6,6단위,1174,1,2
213030,6,6단위,1175,1,2
213040,6,6단위,1176,1,2
213050,6,6단위,1177,1,2
214,3,3단위,106,1,2
2140,4,4단위,400,1,2
214001,6,6단위,1178,1,2
214002,6,6단위,1179,1,2
214003,6,6단위,1180,1,2
214004,6,6단위,1181,1,2
214005,6,6단위,1182,1,2
214006,6,6단위,1183,1,2
214007,6,6단위,1184,1,2
214008,6,6단위,1185,1,2
214009,6,6단위,1186,1,2
214010,6,6단위,1187,1,2
214011,6,6단위,1188,1,2
214012,6,6단위,1189,1,2
214013,6,6단위,1190,1,2
214014,6,6단위,1191,1,2
214015,6,6단위,1192,1,2
214090,6,6단위,1193,1,2
215,3,3단위,107,1,2
2150,4,4단위,401,1,2
215010,6,6단위,1194,1,2
215020,6,6단위,1195,1,2
215030,6,6단위,1196,1,2
215040,6,6단위,1197,1,2
215050,6,6단위,1198,1,2
215060,6,6단위,1199,1,2
215070,6,6단위,1200,1,2
215090,6,6단위,1201,1,2
219,3,3단위,108,1,2
2190,4,4단위,402,1,2
219000,6,6단위,1202,1,2
22,2,2단위,20,1,2
221,3,3단위,109,1,2
2211,4,4단위,403,1,2
221100,6,6단위,1203,1,2
2212,4,4단위,404,1,2
221200,6,6단위,1204,1,2
222,3,3단위,110,1,2
2221,4,4단위,405,1,2
222100,6,6단위,1205,1,2
223,3,3단위,111,1,2
2230,4,4단위,406,1,2
223000,6,6단위,1206,1,2
224,3,3단위,112,1,2
2240,4,4단위,407,1,2
224010,6,6단위,1207,1,2
225,3,3단위,113,1,2
2250,4,4단위,408,1,2
225010,6,6단위,1208,1,2
225030,6,6단위,1209,1,2
225090,6,6단위,1210,1,2
226,3,3단위,114,1,2
2261,4,4단위,409,1,2
226110,6,6단위,1211,1,2
226120,6,6단위,1212,1,2
227,3,3단위,115,1,2
2271,4,4단위,410,1,2
227100,6,6단위,1213,1,2
2273,4,4단위,411,1,2
227310,6,6단위,1214,1,2
227320,6,6단위,1215,1,2
227330,6,6단위,1216,1,2
227340,6,6단위,1217,1,2
227350,6,6단위,1218,1,2
227360,6,6단위,1219,1,2
227370,6,6단위,1220,1,2
227390,6,6단위,1221,1,2
2279,4,4단위,412,1,2
227900,6,6단위,1222,1,2
228,3,3단위,116,1,2
2281,4,4단위,413,1,2
228100,6,6단위,1223,1,2
2282,4,4단위,414,1,2
228200,6,6단위,1224,1,2
2283,4,4단위,415,1,2
228300,6,6단위,1225,1,2
2284,4,4단위,416,1,2
228400,6,6단위,1226,1,2
2289,4,4단위,417,1,2
228900,6,6단위,1227,1,2
229,3,3단위,117,1,2
2290,4,4단위,418,1,2
229090,6,6단위,1228,1,2
23,2,2단위,21,1,2
231,3,3단위,118,1,2
2310,4,4단위,419,1,2
231000,6,6단위,1229,1,2
232,3,3단위,119,1,2
2320,4,4단위,420,1,2
232000,6,6단위,1230,1,2
233,3,3단위,120,1,2
2330,4,4단위,421,1,2
233000,6,6단위,1231,1,2
234,3,3단위,121,1,2
2340,4,4단위,422,1,2
234000,6,6단위,1232,1,2
239,3,3단위,122,1,2
2390,4,4단위,423,1,2
239000,6,6단위,1233,1,2
24,2,2단위,22,1,2
241,3,3단위,123,1,2
2410,4,4단위,424,1,2
241010,6,6단위,1234,1,2
241020,6,6단위,1235,1,2
241030,6,6단위,1236,1,2
241090,6,6단위,1237,1,2
242,3,3단위,124,1,2
2421,4,4단위,425,1,2
242100,6,6단위,1238,1,2
2423,4,4단위,426,1,2
242300,6,6단위,1239,1,2
2424,4,4단위,427,1,2
242400,6,6단위,1240,1,2
2429,4,4단위,428,1,2
242900,6,6단위,1241,1,2
243,3,3단위,125,1,2
2431,4,4단위,429,1,2
243100,6,6단위,1242,1,2
2432,4,4단위,430,1,2
243200,6,6단위,1243,1,2
2433,4,4단위,431,1,2
243300,6,6단위,1244,1,2
2434,4,4단위,432,1,2
243400,6,6단위,1245,1,2
2435,4,4단위,433,1,2
243500,6,6단위,1246,1,2
2437,4,4단위,434,1,2
243700,6,6단위,1247,1,2
2438,4,4단위,435,1,2
243800,6,6단위,1248,1,2
2439,4,4단위,436,1,2
243900,6,6단위,1249,1,2
249,3,3단위,126,1,2
2490,4,4단위,437,1,2
