MTI6코드,품목명,원본파일,원본행
211020,프로필렌,KITA_MTI6_01.xls,97
211030,부타디엔,KITA_MTI6_03.xls,75
211040,벤젠,KITA_MTI6_01.xls,55
211050,톨루엔,KITA_MTI6_03.xls,30
211060,혼합크실렌,KITA_MTI6_02.xls,11
211090,기타기초유분,KITA_MTI6_04.xls,11
212010,오토크실렌,KITA_MTI6_05..xls,59
212020,파라크실렌,KITA_MTI6_01.xls,37
212030,스틸렌,KITA_MTI6_04.xls,5
212040,이염화에탄,KITA_MTI6_04.xls,95
212050,염화비닐모노마,KITA_MTI6_05..xls,11
212060,프로필렌옥사이드,KITA_MTI6_08.xls,69
212070,초산비닐,KITA_MTI6_05..xls,7
212080,메타아크릴산메틸,KITA_MTI6_07.xls,9
212090,기타석유화학중간원료,KITA_MTI6_10.xls,89
213010,에틸렌글리콜,KITA_MTI6_05..xls,62
213020,텔레프탈산,KITA_MTI6_01.xls,86
213030,텔레프탈산디메틸,KITA_MTI6_05..xls,67
213040,아크릴로니트닐,KITA_MTI6_03.xls,61
213050,카프로락탐,KITA_MTI6_13.xls,65
214001,저밀도에틸렌,KITA_MTI6_01.xls,60
214002,고밀도에틸렌,KITA_MTI6_01.xls,77
214003,발포성 폴리스티렌,KITA_MTI6_05..xls,70
214004,폴리프로필렌,KITA_MTI6_01.xls,42
214005,폴리스티렌,KITA_MTI6_02.xls,94
214006,ABS수지,KITA_MTI6_01.xls,71
214007,염화비닐수지,KITA_MTI6_02.xls,101
214008,폴리메타아크릴산메틸,KITA_MTI6_01.xls,67
214009,폴리페닐렌옥사이드,KITA_MTI6_05..xls,14
214010,실리콘수지,KITA_MTI6_03.xls,77
214011,아세탈수지,KITA_MTI6_03.xls,43
214012,에폭시수지,KITA_MTI6_02.xls,30
214013,폴리카보네이트,KITA_MTI6_01.xls,91
214014,폴리에스테르수지,KITA_MTI6_02.xls,14
214015,폴리아미드수지,KITA_MTI6_03.xls,42
214090,기타합성수지,KITA_MTI6_01.xls,27
215010,SNR-L(스티렌 변성 천연 고무-L),KITA_MTI6_06.xls,13
215020,SBR(스티렌부타디엔 고무),KITA_MTI6_02.xls,8
215030,폴리부타디엔고무,KITA_MTI6_02.xls,82
215040,부틸고무,KITA_MTI6_11.xls,64
215050,클로로프렌고무,KITA_MTI6_10.xls,76
215060,아크릴로니트닐부타디엔,KITA_MTI6_03.xls,93
215070,에틸렌프로필렌고무,KITA_MTI6_03.xls,13
215090,기타합성고무,KITA_MTI6_02.xls,83
219000,기타석유화학제품,KITA_MTI6_01.xls,36
221100,염료,KITA_MTI6_03.xls,23
221200,안료,KITA_MTI6_02.xls,20
222100,도료,KITA_MTI6_02.xls,57
223000,접착제,KITA_MTI6_03.xls,14
224010,윤활제,KITA_MTI6_04.xls,73
225010,현상하지않은필름,KITA_MTI6_04.xls,40
225030,현상한영화필름,KITA_MTI6_04.xls,90
225090,기타사진영화용재료,KITA_MTI6_02.xls,74
226110,농약,KITA_MTI6_02.xls,39
226120,농약원제,KITA_MTI6_04.xls,91
227100,비누,KITA_MTI6_08.xls,7
227310,"향수, 화장수",KITA_MTI6_05..xls,89
227320,"메이크업, 기초화장품",KITA_MTI6_01.xls,19
227330,두발용 제품,KITA_MTI6_03.xls,5
227340,면도용 제품,KITA_MTI6_11.xls,97
227350,인체용 탈취제,KITA_MTI6_09.xls,92
227360,목욕용 제품,KITA_MTI6_09.xls,54
227370,세안용품,KITA_MTI6_02.xls,84
227390,기타화장품,KITA_MTI6_02.xls,22
227900,기타 화장품,KITA_MTI6_06.xls,102
228100,황산,KITA_MTI6_04.xls,52
228200,암모니아수,KITA_MTI6_06.xls,37
228300,수산화나트륨,KITA_MTI6_04.xls,19
228400,과산화수소,KITA_MTI6_05..xls,54
228900,기타정밀화학원료,KITA_MTI6_01.xls,28
229090,기타정밀화학제품,KITA_MTI6_01.xls,104
231000,질소비료,KITA_MTI6_07.xls,81
232000,인산비료,KITA_MTI6_12.xls,78
233000,칼륨비료,KITA_MTI6_08.xls,70
234000,복합비료,KITA_MTI6_03.xls,52
239000,기타비료,KITA_MTI6_05..xls,19
241010,시멘트크링커,KITA_MTI6_05..xls,45
241020,백시멘트,KITA_MTI6_11.xls,65
241030,포트랜드시멘트,KITA_MTI6_07.xls,59
241090,기타시멘트,KITA_MTI6_08.xls,73
242100,타일,KITA_MTI6_10.xls,67
242300,도자기장식품,KITA_MTI6_11.xls,49
242400,위생용기,KITA_MTI6_09.xls,13
242900,기타타일및도자기제품,KITA_MTI6_03.xls,83
243100,판유리,KITA_MTI6_02.xls,33
243200,안전유리,KITA_MTI6_04.xls,84
243300,유리거울,KITA_MTI6_05..xls,43
243400,유리용기,KITA_MTI6_06.xls,49
243500,광학유리,KITA_MTI6_08.xls,100
243700,유리식기및장식품,KITA_MTI6_09.xls,75
243800,유리제벌브,KITA_MTI6_13.xls,15
243900,기타유리제품,KITA_MTI6_03.xls,8
249000,기타요업제품,KITA_MTI6_04.xls,28
251100,펄프,KITA_MTI6_07.xls,21
251200,고지,KITA_MTI6_05..xls,72
252100,신문용지,KITA_MTI6_06.xls,75
252200,인쇄용지,KITA_MTI6_02.xls,36
252300,화장지,KITA_MTI6_08.xls,88
252400,벽지,KITA_MTI6_07.xls,24
252500,크라프트지,KITA_MTI6_07.xls,104
252600,백판지,KITA_MTI6_05..xls,13
252700,골판지원지,KITA_MTI6_04.xls,16
252900,기타종이제품,KITA_MTI6_02.xls,29
261000,석면제품,KITA_MTI6_11.xls,10
262000,운모제품,KITA_MTI6_07.xls,80
271000,마찰제품,KITA_MTI6_08.xls,45
272000,연마제품,KITA_MTI6_03.xls,99
290010,비연소 담배대용물,KITA_MTI6_03.xls,95
290020,잔재물과 폐기물,KITA_MTI6_11.xls,60
290090,기타화학공업제품,KITA_MTI6_01.xls,48
310100,플라스틱깔개및벽피복,KITA_MTI6_02.xls,59
310200,플라스틱관,KITA_MTI6_03.xls,41
310310,폴리에틸렌테레프탈레이트필름,KITA_MTI6_02.xls,6
310320,에틸렌중합체필름,KITA_MTI6_03.xls,55
310330,프로필렌중합체필름,KITA_MTI6_03.xls,34
310340,폴리아미드필름,KITA_MTI6_07.xls,6
310900,기타플라스틱제품,KITA_MTI6_01.xls,25
320100,고무벨트,KITA_MTI6_06.xls,14
320200,고무관,KITA_MTI6_04.xls,14
320310,승용차용타이어,KITA_MTI6_01.xls,52
320320,버스및화물차용타이어,KITA_MTI6_02.xls,72
320390,기타타이어,KITA_MTI6_05..xls,51
320400,타이어튜브,KITA_MTI6_05..xls,77
320900,기타고무제품,KITA_MTI6_02.xls,40
331100,소가죽,KITA_MTI6_09.xls,11
331200,양가죽,KITA_MTI6_10.xls,33
331900,기타가죽,KITA_MTI6_03.xls,98
332000,가죽제품,KITA_MTI6_06.xls,86
333100,밍크모피,KITA_MTI6_12.xls,33
333200,여우모피,KITA_MTI6_12.xls,48
333300,인조모피,KITA_MTI6_12.xls,76
333900,기타모피,KITA_MTI6_12.xls,30
411100,폴리에스터 섬유,KITA_MTI6_02.xls,90
411200,아크릴섬유,KITA_MTI6_05..xls,49
411310,나일론섬유,KITA_MTI6_10.xls,57
411320,아라미드섬유,KITA_MTI6_06.xls,18
411900,기타합성섬유,KITA_MTI6_04.xls,85
412100,비스코스섬유,KITA_MTI6_12.xls,7
412200,아세테이트섬유,KITA_MTI6_05..xls,73
412900,기타재생섬유,KITA_MTI6_12.xls,55
413100,견원료,KITA_MTI6_13.xls,73
413200,모원료,KITA_MTI6_12.xls,20
413300,면원료,KITA_MTI6_08.xls,47
413400,마원료,KITA_MTI6_13.xls,40
413900,기타천연섬유원료,KITA_MTI6_13.xls,53
421100,견사,KITA_MTI6_13.xls,60
421210,소모사,KITA_MTI6_09.xls,93
421220,방모사,KITA_MTI6_08.xls,81
421290,기타모사,KITA_MTI6_11.xls,39
421310,순면사,KITA_MTI6_07.xls,16
421320,혼방면사,KITA_MTI6_10.xls,56
421390,기타면사,KITA_MTI6_11.xls,72
421910,마사,KITA_MTI6_12.xls,34
421990,기타사,KITA_MTI6_08.xls,16
422110,나일론사,KITA_MTI6_06.xls,89
422120,아라미드사,KITA_MTI6_04.xls,69
422130,타이어코드사,KITA_MTI6_13.xls,90
422200,폴리에스터사,KITA_MTI6_04.xls,18
422300,비스코스사,KITA_MTI6_09.xls,89
422400,아세테이트사,KITA_MTI6_10.xls,48
422500,탄소섬유사,KITA_MTI6_04.xls,98
422900,기타인조섬유장섬유사,KITA_MTI6_04.xls,21
423110,P/C사,KITA_MTI6_12.xls,67
423120,P/W 방적사,KITA_MTI6_10.xls,75
423190,기타폴리에스터방적사,KITA_MTI6_08.xls,99
423210,A/C사,KITA_MTI6_10.xls,88
423220,A/W사,KITA_MTI6_13.xls,37
423290,기타아크릴방적사,KITA_MTI6_10.xls,71
423900,기타인조섬유방적사,KITA_MTI6_08.xls,53
431110,홀치기 견직물,KITA_MTI6_13.xls,72
431190,기타순견직물,KITA_MTI6_08.xls,12
431200,혼방견직물,KITA_MTI6_10.xls,23
431900,견노일직물,KITA_MTI6_13.xls,48
432100,소모직물,KITA_MTI6_07.xls,85
432200,방모직물,KITA_MTI6_09.xls,19
432900,기타모직물,KITA_MTI6_13.xls,67
433110,생지,KITA_MTI6_10.xls,97
433120,표백,KITA_MTI6_10.xls,62
433130,염색,KITA_MTI6_04.xls,64
433190,선염,KITA_MTI6_09.xls,59
433210,생지,KITA_MTI6_10.xls,52
433220,표백,KITA_MTI6_11.xls,96
433230,염색,KITA_MTI6_06.xls,67
433290,선염,KITA_MTI6_09.xls,43
434100,나일론직물,KITA_MTI6_04.xls,26
434200,폴리에스터직물,KITA_MTI6_02.xls,58
434300,기타합섬직물,KITA_MTI6_05..xls,80
434900,재생직물,KITA_MTI6_06.xls,44
435110,P/C직물,KITA_MTI6_08.xls,8
435120,P/W직물,KITA_MTI6_11.xls,53
435190,기타폴리에스터직물,KITA_MTI6_05..xls,5
435210,아크릴단섬유직물,KITA_MTI6_09.xls,62
435220,기타 단섬유직물,KITA_MTI6_11.xls,50
435910,순재생단섬유직물,KITA_MTI6_09.xls,10
435990,혼방재생단섬유직물,KITA_MTI6_07.xls,68
436000,편직물,KITA_MTI6_01.xls,84
439100,마직물,KITA_MTI6_09.xls,47
439200,타이어코드,KITA_MTI6_05..xls,74
439300,자수포,KITA_MTI6_08.xls,85
439400,파일셔어닐직물,KITA_MTI6_06.xls,61
439500,부직포,KITA_MTI6_03.xls,54
439610,탄소섬유직물,KITA_MTI6_10.xls,10
439620,프리프레그,KITA_MTI6_07.xls,77
439910,유리섬유 직물,KITA_MTI6_06.xls,70
439920,글라스 울,KITA_MTI6_07.xls,70
439990,기타의직물,KITA_MTI6_02.xls,15
441101,코트 및 자켓,KITA_MTI6_07.xls,71
441102,양복,KITA_MTI6_09.xls,101
441103,양복상의,KITA_MTI6_09.xls,35
441104,바지 및 스커트,KITA_MTI6_06.xls,25
441105,드레스,KITA_MTI6_08.xls,44
441106,남성아우터셔츠,KITA_MTI6_05..xls,85
441107,블라우스,KITA_MTI6_07.xls,69
441108,스웨터,KITA_MTI6_04.xls,75
441109,언더셔츠,KITA_MTI6_03.xls,84
441110,팬티,KITA_MTI6_09.xls,46
441111,슬립,KITA_MTI6_12.xls,44
441112,파운데이션,KITA_MTI6_08.xls,42
441113,잠옷,KITA_MTI6_11.xls,22
441114,가운,KITA_MTI6_10.xls,12
441115,유아복,KITA_MTI6_08.xls,51
441116,운동복,KITA_MTI6_10.xls,38
441117,코팅제의류,KITA_MTI6_11.xls,63
441118,기타편직제의류,KITA_MTI6_05..xls,84
441190,기타의류,KITA_MTI6_06.xls,42
441201,코트 및 자켓,KITA_MTI6_05..xls,12
441202,신사복,KITA_MTI6_11.xls,5
441203,여성양복,KITA_MTI6_11.xls,71
441204,기타복(앙상블),KITA_MTI6_11.xls,73
441205,신사복상의,KITA_MTI6_08.xls,18
441206,여성양복상의,KITA_MTI6_06.xls,47
441207,남성바지,KITA_MTI6_07.xls,56
441208,여성바지스커트,KITA_MTI6_04.xls,65
441209,드레스,KITA_MTI6_07.xls,32
441210,브라우스,KITA_MTI6_06.xls,46
441211,스키슈트,KITA_MTI6_11.xls,12
441212,기타운동복,KITA_MTI6_05..xls,40
441213,남성셔츠,KITA_MTI6_07.xls,58
441214,잠옷,KITA_MTI6_10.xls,25
441215,기타내의실내복,KITA_MTI6_10.xls,22
441216,유아용의류,KITA_MTI6_10.xls,39
441217,코팅제의류,KITA_MTI6_09.xls,24
441220,의류부속품 및 부분품,KITA_MTI6_03.xls,71
441301,고무제의류,KITA_MTI6_09.xls,38
441302,혁제의류,KITA_MTI6_07.xls,48
441303,모피의류,KITA_MTI6_09.xls,6
441401,양말,KITA_MTI6_06.xls,36
441402,팬티호스 타이즈,KITA_MTI6_10.xls,55
441403,장갑,KITA_MTI6_06.xls,45
441404,손수건 스카프,KITA_MTI6_09.xls,37
441405,넥타이,KITA_MTI6_11.xls,102
441406,모자,KITA_MTI6_04.xls,101
441407,벨트,KITA_MTI6_09.xls,74
442110,직물제가방,KITA_MTI6_05..xls,6
