산업,alias,공식MTI코드,공식품목명,코드길이,점수,행
무선통신기기,무선통신기기,812,무선통신기기,3,168,221
무선통신기기,무선통신기기,2026,무선통신기기,4,162,221
무선통신기기,무선통신기기,8128,무선통신기기부품,4,63,728
무선통신기기,무선통신기기,2026,무선통신기기부품,4,62,728
무선통신기기,무선통신기기,2026,기타무선통신기기부품,4,22,1897
무선통신기기,무선통신기기,812890,기타무선통신기기부품,6,13,1897
컴퓨터,컴퓨터,813,컴퓨터,3,168,222
컴퓨터,컴퓨터,8131,컴퓨터,4,163,729
컴퓨터,컴퓨터,2026,컴퓨터,4,162,222
컴퓨터,컴퓨터,8135,컴퓨터주변기기,4,63,733
컴퓨터,컴퓨터,8136,컴퓨터부품,4,63,734
컴퓨터,컴퓨터,2026,컴퓨터주변기기,4,62,733
컴퓨터,컴퓨터,2026,컴퓨터부품,4,62,734
컴퓨터,컴퓨터,2026,휴대용컴퓨터,4,22,1898
컴퓨터,컴퓨터,2026,개인용컴퓨터,4,22,1899
컴퓨터,컴퓨터,2026,기타컴퓨터주변기기,4,22,1914
컴퓨터,컴퓨터,2026,기타컴퓨터부품,4,22,1916
컴퓨터,컴퓨터,813110,휴대용컴퓨터,6,13,1898
컴퓨터,컴퓨터,813120,개인용컴퓨터,6,13,1899
컴퓨터,컴퓨터,813590,기타컴퓨터주변기기,6,13,1914
컴퓨터,컴퓨터,813690,기타컴퓨터부품,6,13,1916
가전,,,찾지 못함,0,0,
일반기계,,,찾지 못함,0,0,
석유제품,석유제품,133,석유제품,3,168,98
석유제품,석유제품,2026,석유제품,4,162,98
석유제품,석유제품,1339,기타석유제품,4,23,392
석유제품,석유제품,2026,기타석유제품,4,22,392
석유제품,석유제품,133900,기타석유제품,6,13,1150
석유화학,석유화학,21,석유화학제품,2,73,19
석유화학,석유화학,212,석유화학중간원료,3,68,104
석유화학,석유화학,213,석유화학합섬원료,3,68,105
석유화학,석유화학,2120,석유화학중간원료,4,63,398
석유화학,석유화학,2130,석유화학합성원료,4,63,399
석유화학,석유화학,2026,석유화학제품,4,62,19
석유화학,석유화학,2026,석유화학중간원료,4,62,104
석유화학,석유화학,2026,석유화학합섬원료,4,62,105
석유화학,석유화학,2026,석유화학합성원료,4,62,399
석유화학,석유화학,219,기타석유화학제품,3,28,108
석유화학,석유화학,2190,기타석유화학제품,4,23,402
석유화학,석유화학,2026,기타석유화학제품,4,22,108
석유화학,석유화학,2026,기타석유화학중간원료,4,22,1172
석유화학,석유화학,212090,기타석유화학중간원료,6,13,1172
석유화학,석유화학,219000,기타석유화학제품,6,13,1202
이차전지,,,찾지 못함,0,0,
철강,철강,6,철강금속제품,1,78,7
철강,철강,61,철강제품,2,73,36
철강,철강,613,철강판,3,68,170
철강,철강,614,철강관및철강선,3,68,171
철강,철강,6111,철강및비합금강형강,4,63,562
철강,철강,6141,철강관,4,63,574
철강,철강,6142,철강선,4,63,575
철강,철강,6924,철강재용기,4,63,620
철강,철강,6925,철강재체인,4,63,621
철강,철강,2026,철강금속제품,4,62,7
철강,철강,2026,철강제품,4,62,36
철강,철강,2026,철강판,4,62,170
철강,철강,2026,철강관및철강선,4,62,171
철강,철강,2026,철강및비합금강형강,4,62,562
철강,철강,2026,철강관,4,62,574
철강,철강,2026,철강선,4,62,575
철강,철강,2026,철강재용기,4,62,620
철강,철강,2026,철강재체인,4,62,621
철강,철강,2026,철강제 식탁용품 및 주방용품,4,62,1492
철강,철강,516140,철강제 식탁용품 및 주방용품,6,53,1492
철강,철강,692400,철강재용기,6,53,1675
철강,철강,692500,철강재체인,6,53,1676
철강,철강,69,기타철강금속제품,2,33,40
철강,철강,619,강반제품및기타철강제품,3,28,174
철강,철강,690,기타철강금속제품,3,28,188
철강,철강,692,기타철강재,3,28,190
철강,철강,6192,기타철강제품,4,23,579
철강,철강,6900,기타철강금속제품,4,23,611
철강,철강,6919,기타철강제품,4,23,616
철강,철강,6929,기타철강제품,4,23,623
비철금속,비철금속,62,비철금속제품,2,73,37
비철금속,비철금속,2026,비철금속제품,4,62,37
비철금속,비철금속,629,기타비철금속제품,3,28,183
비철금속,비철금속,6290,기타비철금속제품,4,23,606
비철금속,비철금속,2026,기타비철금속제품,4,22,183
비철금속,비철금속,629000,기타비철금속제품,6,13,1645
전기기기,전기기기,84,전기기기,2,173,50
전기기기,전기기기,2026,전기기기,4,162,50
전기기기,전기기기,842,산업용 전기기기,3,28,241
전기기기,전기기기,8429,기타 전기기기,4,23,820
전기기기,전기기기,2026,산업용 전기기기,4,22,241
전기기기,전기기기,2026,기타 전기기기,4,22,820
바이오헬스,바이오헬스,93,바이오헬스,2,173,53
바이오헬스,바이오헬스,2026,바이오헬스,4,162,53
바이오헬스,바이오,2026,바이오의약품,4,62,2118
바이오헬스,바이오,2026,바이오원료,4,62,2120
바이오헬스,바이오,931110,바이오의약품,6,53,2118
바이오헬스,바이오,931210,바이오원료,6,53,2120
농수산식품,,,찾지 못함,0,0,
화장품,화장품,2273,화장품,4,163,411
화장품,화장품,2026,화장품,4,162,411
화장품,화장품,227,비누치약및화장품,3,28,115
화장품,화장품,2279,기타화장품,4,23,412
화장품,화장품,2026,비누치약및화장품,4,22,115
화장품,화장품,2026,기타화장품,4,22,412
화장품,화장품,2026,"메이크업, 기초화장품",4,22,1215
화장품,화장품,2026,기타 화장품,4,22,1222
화장품,화장품,227320,"메이크업, 기초화장품",6,13,1215
화장품,화장품,227390,기타화장품,6,13,1221
화장품,화장품,227900,기타 화장품,6,13,1222
생활용품,생활용품,5,생활용품,1,178,6
생활용품,생활용품,51,생활용품,2,173,34
생활용품,생활용품,5212,생활용품,4,163,553
생활용품,생활용품,2026,생활용품,4,162,6
생활용품,생활용품,52,기타 생활용품,2,33,35
생활용품,생활용품,529,기타 생활용품,3,28,167
생활용품,생활용품,0318,목제생활용품,4,23,326
생활용품,생활용품,5290,기타 생활용품,4,23,561
생활용품,생활용품,2026,기타 생활용품,4,22,35
생활용품,생활용품,2026,목제생활용품,4,22,326
생활용품,생활용품,2026,기타목재생활용품,4,22,1071
생활용품,생활용품,031890,기타목재생활용품,6,13,1071
생활용품,생활용품,529000,기타 생활용품,6,13,1534
섬유,섬유,4,섬유류,1,78,5
섬유,섬유,41,섬유원료,2,73,30
섬유,섬유,42,섬유사,2,73,31
섬유,섬유,44,섬유패션제품,2,73,33
섬유,섬유,713,섬유및화학기계,3,68,193
섬유,섬유,0315,섬유판,4,63,323
섬유,섬유,7131,섬유기계,4,63,630
섬유,섬유,7134,섬유및피혁가공기계부품,4,63,633
섬유,섬유,2026,섬유류,4,62,5
섬유,섬유,2026,섬유원료,4,62,30
섬유,섬유,2026,섬유사,4,62,31
섬유,섬유,2026,섬유패션제품,4,62,33
섬유,섬유,2026,섬유및화학기계,4,62,193
섬유,섬유,2026,섬유판,4,62,323
섬유,섬유,2026,섬유기계,4,62,630
